pmcid,keyword_raw,keyword_normalised,licence_code
PMC8729021,ageing,ageing,by
PMC8729021,non-communicable diseases,non-communicable diseases,by
PMC8729021,community health workers,community health workers,by
PMC8729021,Uganda,uganda,by
PMC8660601,diabetic nephropathy,diabetic nephropathy,by
PMC8660601,type 2 diabetes,type 2 diabetes,by
PMC8660601,transient receptor potential melastatin 2,transient receptor potential melastatin 2,by
PMC8660601,renal fibrosis,renal fibrosis,by
PMC8660601,inflammation,inflammation,by
PMC8593624,Type 2 Diabetes Mellitus,type 2 diabetes mellitus,by
PMC8593624,Morus alba,morus alba,by
PMC8593624,T2DM control,t2dm control,by
PMC8593624,blood glucose,blood glucose,by
PMC8649966,Type 2 Diabetes mellitus,type 2 diabetes mellitus,by
PMC8649966,Chronic diseases,chronic diseases,by
PMC8649966,Medication adherence,medication adherence,by
PMC8649966,Coronavirus,coronavirus,by
PMC8596187,COVID-19,covid-19,by
PMC8596187,comorbid,comorbid,by
PMC8596187,hematology,hematology,by
PMC8596187,coagulopathy,coagulopathy,by
PMC8596187,good health,good health,by
PMC8596187,and well-being,and well-being,by
PMC8577060,Metabolic syndrome,metabolic syndrome,by
PMC8577060,Hypertension,hypertension,by
PMC8577060,Obesity,obesity,by
PMC8577060,Dyslipidemia,dyslipidemia,by
PMC8577060,Diabetes,diabetes,by
PMC8577060,Nephrolithiasis,nephrolithiasis,by
PMC8610129,Jiedu Tongluo Tiaogan Formula,jiedu tongluo tiaogan formula,by
PMC8610129,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC8610129,network pharmacology,network pharmacology,by
PMC8610129,PI3K/Akt signaling pathway,pi3k/akt signaling pathway,by
PMC8610129,traditional Chinese medicine,traditional chinese medicine,by
PMC8589412,cell identity,cell identity,by
PMC8589412,insulin,insulin,by
PMC8589412,islet,islet,by
PMC8589412,long non-coding RNA (lncRNA),long non-coding rna (lncrna),by
PMC8589412,pancreatic beta cell,pancreatic beta cell,by
PMC8561611,Oxytocin,oxytocin,by
PMC8561611,carbetocin,carbetocin,by
PMC8561611,troponin I,troponin i,by
PMC8561611,anaesthesia,anaesthesia,by
PMC8561611,caesarean delivery,caesarean delivery,by
PMC8561611,uterine atony,uterine atony,by
PMC8544326,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC8544326,depression,depression,by
PMC8544326,agomelatine,agomelatine,by
PMC8544326,paroxetine,paroxetine,by
PMC8544326,fluoxetine,fluoxetine,by
PMC8507303,muscle depletion,muscle depletion,by
PMC8507303,cachexia,cachexia,by
PMC8507303,diabetes mellitus,diabetes mellitus,by
PMC8507303,chronic kidney disease,chronic kidney disease,by
PMC8507303,mortality,mortality,by
PMC8501470,Continuous glucose monitoring,continuous glucose monitoring,by
PMC8501470,Automated insulin dosing,automated insulin dosing,by
PMC8501470,Closed-loop control,closed-loop control,by
PMC8501470,Time in range,time in range,by
PMC8501458,Continuous glucose monitoring,continuous glucose monitoring,by
PMC8501458,Centers for Medicare & Medicaid Services,centers for medicare & medicaid services,by
PMC8501458,Insurance coverage,insurance coverage,by
PMC8501458,Type 1 diabetes,type 1 diabetes,by
PMC8501458,Type 2 diabetes,type 2 diabetes,by
PMC8459622,Blood Pressure,blood pressure,by
PMC8459622,Body Mass Index,body mass index,by
PMC8459622,Diabetes Mellitus Type 2,diabetes mellitus type 2,by
PMC8459622,Nepal,nepal,by
PMC10285340,Electronic Health Records,electronic health records,by
PMC10285340,Covid-19,covid-19,by
PMC10285340,Pneumonia,pneumonia,by
PMC10285340,Cardiometabolic,cardiometabolic,by
PMC10285340,Post-hospitalisation,post-hospitalisation,by
PMC10156041,Burnout,burnout,by
PMC10156041,Depersonalization,depersonalization,by
PMC10156041,Diabetes mellitus,diabetes mellitus,by
PMC10156041,Mental health,mental health,by
PMC10156041,Depression,depression,by
PMC10156041,Self-care,self-care,by
PMC10156041,Parental burnout,parental burnout,by
PMC10277979,appointment no-show,appointment no-show,by
PMC10277979,type 2 diabetes mellitus care,type 2 diabetes mellitus care,by
PMC10277979,telehealth,telehealth,by
PMC10277979,COVID,covid,by
PMC10277979,telemedicine,telemedicine,by
PMC9904780,cardiovascular pregnancy complications,cardiovascular pregnancy complications,by
PMC9904780,cross-sectional studies,cross-sectional studies,by
PMC9904780,electronic health records,electronic health records,by
PMC9904780,family practice,family practice,by
PMC9904780,"hypertension, pregnancy-induced","hypertension, pregnancy-induced",by
PMC9904780,pregnancy,pregnancy,by
PMC9904780,primary prevention,primary prevention,by
PMC9904780,postpartum period,postpartum period,by
PMC9904780,women’s health,women’s health,by
PMC9904790,general practice,general practice,by
PMC9904790,"diabetes mellitus, type 2","diabetes mellitus, type 2",by
PMC9904790,mental health,mental health,by
PMC9904790,qualitative study,qualitative study,by
PMC9904771,diabetes mellitus,diabetes mellitus,by
PMC9904771,glycated hemoglobin A,glycated hemoglobin a,by
PMC9904771,dried blood spot testing,dried blood spot testing,by
PMC9904771,primary health care,primary health care,by
PMC9807248,atrial fibrillation,atrial fibrillation,by
PMC9807248,coronary heart disease,coronary heart disease,by
PMC9807248,thyroid regulation,thyroid regulation,by
PMC9807248,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC9811955,anemia,anemia,by
PMC9811955,hemoglobin,hemoglobin,by
PMC9811955,systematic review,systematic review,by
PMC9811955,TBI,tbi,by
PMC9811955,transfusion,transfusion,by
PMC9811955,traumatic brain injury,traumatic brain injury,by
PMC9804259,Alcohol,alcohol,by
PMC9804259,bottle size,bottle size,by
PMC9804259,consumption,consumption,by
PMC9804259,cross‐over,cross‐over,by
PMC9804259,glass size,glass size,by
PMC9804259,portion size,portion size,by
PMC9804259,randomized trial,randomized trial,by
PMC9804259,RCT,rct,by
PMC9804259,wine,wine,by
PMC9792204,DNA methylation,dna methylation,by
PMC9792204,epigenetic clock,epigenetic clock,by
PMC9792204,mortality,mortality,by
PMC9792204,healthspan,healthspan,by
PMC9740381,delirium,delirium,by
PMC9740381,metformin,metformin,by
PMC9740381,diabetes mellitus,diabetes mellitus,by
PMC9740381,mortality,mortality,by
PMC9740381,aging,aging,by
PMC9712051,preeclampsia,preeclampsia,by
PMC9712051,determinants,determinants,by
PMC9712051,pregnant women,pregnant women,by
PMC9712051,case–control,case–control,by
PMC9712051,Ethiopia,ethiopia,by
PMC9699764,HBP1,hbp1,by
PMC9699764,IGFBP1,igfbp1,by
PMC9699764,T2DM,t2dm,by
PMC9699764,insulin resistance,insulin resistance,by
PMC9699764,glucose metabolism,glucose metabolism,by
PMC9683781,polygenic risk score,polygenic risk score,by
PMC9683781,gestational diabetes mellitus,gestational diabetes mellitus,by
PMC9683781,Type 2 diabetes,type 2 diabetes,by
PMC9683781,South Asian,south asian,by
PMC9683781,Born in Bradford,born in bradford,by
PMC9683781,South Asian birth cohort (START),south asian birth cohort (start),by
PMC9680760,general practice,general practice,by
PMC9680760,COVID-19,covid-19,by
PMC9680760,"diabetes mellitus, type 2","diabetes mellitus, type 2",by
PMC9680760,telemedicine,telemedicine,by
PMC9680740,"diabetes, gestational","diabetes, gestational",by
PMC9680740,"diabetes mellitus, type 2","diabetes mellitus, type 2",by
PMC9680740,follow-up screening,follow-up screening,by
PMC9680740,general practice,general practice,by
PMC9680740,disease prevention,disease prevention,by
PMC9680740,qualitative health research,qualitative health research,by
PMC9680740,primary healthcare,primary healthcare,by
PMC9640193,adipose tissue,adipose tissue,cc0
PMC9640193,osteoporosis,osteoporosis,cc0
PMC9640193,mouse models,mouse models,cc0
PMC11232475,king abdulaziz medical city,king abdulaziz medical city,by
PMC11232475,case series,case series,by
PMC11232475,pregnancy outcomes,pregnancy outcomes,by
PMC11232475,ovarian hyperstimulation syndrome,ovarian hyperstimulation syndrome,by
PMC11232475,assisted reproductive technology,assisted reproductive technology,by
PMC11061715,COVID-19 Vaccine,covid-19 vaccine,by
PMC11061715,T1DM,t1dm,by
PMC11061715,DKA,dka,by
PMC11061715,Bicarbonate,bicarbonate,by
PMC11131981,teneligliptin,teneligliptin,by
PMC11131981,diabetes-related cognitive impairment,diabetes-related cognitive impairment,by
PMC11131981,NLRP3,nlrp3,by
PMC11131981,ER stress,er stress,by
PMC11041996,Cardiovascular Disease,cardiovascular disease,by
PMC11041996,Coronary Heart Disease,coronary heart disease,by
PMC11041996,High-Density Lipoprotein,high-density lipoprotein,by
PMC11041996,Subclass,subclass,by
PMC11041996,HDL2-C,hdl2-c,by
PMC11041996,HDL3-C,hdl3-c,by
PMC11041815,Diabetes Mellitus,diabetes mellitus,by
PMC11041815,Type 1,type 1,by
PMC11041815,Insulin,insulin,by
PMC11041815,Blood Glucose Self-monitoring,blood glucose self-monitoring,by
PMC11176708,health information technology acceptance model,health information technology acceptance model,by
PMC11176708,non-communicable diseases,non-communicable diseases,by
PMC11176708,primary health care,primary health care,by
PMC11176708,telemedicine,telemedicine,by
PMC11176708,video consultation,video consultation,by
PMC11041820,ACE2,ace2,by
PMC11041820,DKA,dka,by
PMC11041820,SARS-CoV-2,sars-cov-2,by
PMC11041820,T1D,t1d,by
PMC10280997,Acute coronary syndrome,acute coronary syndrome,by
PMC10280997,atherosclerosis,atherosclerosis,by
PMC10280997,meta-analysis,meta-analysis,by
PMC10280997,risk factors,risk factors,by
PMC10280997,ACS,acs,by
PMC10280997,young women,young women,by
PMC10877389,adherence,adherence,by
PMC10877389,medication,medication,by
PMC10877389,telemedicine,telemedicine,by
PMC10877389,telehealth,telehealth,by
PMC10877389,pharmacy,pharmacy,by
PMC10877389,COVID-19,covid-19,by
PMC10877389,outpatients,outpatients,by
PMC10879742,Sodium-glucose cotransporter 2 inhibitors,sodium-glucose cotransporter 2 inhibitors,by
PMC10879742,myocardial hypertrophy,myocardial hypertrophy,by
PMC10879742,myocardial fibrosis,myocardial fibrosis,by
PMC10879742,inflammation,inflammation,by
PMC10879742,epicardial adipose tissue,epicardial adipose tissue,by
PMC10879742,"Na + /H + exchanger, insulin resistance, autophagy","na + /h + exchanger, insulin resistance, autophagy",by
PMC10828751,risk assessment tool,risk assessment tool,by
PMC10828751,mortality,mortality,by
PMC10828751,hospitalization,hospitalization,by
PMC10828751,malnutrition,malnutrition,by
PMC10828751,hemodialysis,hemodialysis,by
PMC10828751,protein energy wasting (pew),protein energy wasting (pew),by
PMC10822685,sleeve,sleeve,by
PMC10822685,single anastomosis,single anastomosis,by
PMC10822685,morbid obesity,morbid obesity,by
PMC10822685,meta-analysis,meta-analysis,by
PMC10822685,jejunum,jejunum,by
PMC10556372,Alpha-glucosidase,alpha-glucosidase,by
PMC10556372,Alzheimer’s disease,alzheimer’s disease,by
PMC10556372,amyloid beta-peptides,amyloid beta-peptides,by
PMC10556372,apolipoprotein E,apolipoprotein e,by
PMC10556372,diabetes mellitus,diabetes mellitus,by
PMC10556372,hyperglycaemia,hyperglycaemia,by
PMC10556372,tau proteins,tau proteins,by
PMC10824543,retrospective cohort study,retrospective cohort study,by
PMC10824543,perioperative chemotherapy,perioperative chemotherapy,by
PMC10824543,febrile neutropenia,febrile neutropenia,by
PMC10824543,breast cancer,breast cancer,by
PMC10824543,periodontal disease,periodontal disease,by
PMC10823194,risk factors,risk factors,by
PMC10823194,n-acetyl cysteine,n-acetyl cysteine,by
PMC10823194,hydration,hydration,by
PMC10823194,preexisting renal lesion,preexisting renal lesion,by
PMC10823194,contrast-induced nephropathy (cin),contrast-induced nephropathy (cin),by
PMC10824704,diabetes mellitus,diabetes mellitus,by
PMC10824704,obesity,obesity,by
PMC10824704,comorbidity,comorbidity,by
PMC10824704,ligament ossification,ligament ossification,by
PMC10824704,diffuse idiopathic skeletal hyperostosis,diffuse idiopathic skeletal hyperostosis,by
PMC10824705,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC10824705,strontium,strontium,by
PMC10824705,pomegranate peel,pomegranate peel,by
PMC10824705,nanoparticles,nanoparticles,by
PMC10824705,α-glucosidase,α-glucosidase,by
PMC10824705,α-amylase,α-amylase,by
PMC10823190,diabetes mellitus,diabetes mellitus,by
PMC10823190,saudi arabia,saudi arabia,by
PMC10823190,risk factors,risk factors,by
PMC10823190,prevalence,prevalence,by
PMC10823190,fungal infections,fungal infections,by
PMC10823190,tinea pedis,tinea pedis,by
PMC10797847,diagnostic dilemma,diagnostic dilemma,by
PMC10797847,type 3 diabetes,type 3 diabetes,by
PMC10797847,atrophy of the pancreas,atrophy of the pancreas,by
PMC10797847,pancreatogenic diabetes,pancreatogenic diabetes,by
PMC10797847,diabetes mellitus,diabetes mellitus,by
PMC10810140,disease complexity,disease complexity,by
PMC10810140,comprehensive patient care,comprehensive patient care,by
PMC10810140,endocrine dysfunction,endocrine dysfunction,by
PMC10810140,multidisciplinary approach,multidisciplinary approach,by
PMC10810140,mitochondrial-endocrine interactions,mitochondrial-endocrine interactions,by
PMC10810140,clinical case report,clinical case report,by
PMC10810140,multisystem disorders,multisystem disorders,by
PMC10810140,endocrinopathies,endocrinopathies,by
PMC10810140,merrf syndrome,merrf syndrome,by
PMC10810140,mitochondrial dysfunction,mitochondrial dysfunction,by
PMC10804210,maternal-fetal health,maternal-fetal health,by
PMC10804210,type 1 diabetes mellitus,type 1 diabetes mellitus,by
PMC10804210,multidisciplinary care,multidisciplinary care,by
PMC10804210,cesarean section,cesarean section,by
PMC10804210,pregnancy,pregnancy,by
PMC10804210,diabetic ketoacidosis,diabetic ketoacidosis,by
PMC10799674,necrotizing fasciitis,necrotizing fasciitis,by
PMC10799674,fournier's gangrene in a female patient,fournier's gangrene in a female patient,by
PMC10799674,female fournier's gangrene,female fournier's gangrene,by
PMC10799674,fournier's gangrene (fg),fournier's gangrene (fg),by
PMC10799674,fournier gangrene,fournier gangrene,by
PMC10793469,pcos,pcos,by
PMC10793469,gestational diabetes mellitus,gestational diabetes mellitus,by
PMC10793469,pregnancy,pregnancy,by
PMC10793469,endocrinology,endocrinology,by
PMC10793469,obstetrics,obstetrics,by
PMC10793469,polycystic ovarian syndrome,polycystic ovarian syndrome,by
PMC10793469,gestational diabetes,gestational diabetes,by
PMC10800162,high-performance liquid chromatography,high-performance liquid chromatography,by
PMC10800162,electrophoresis,electrophoresis,by
PMC10800162,hb1ac,hb1ac,by
PMC10800162,hemoglobin j-guantanamo,hemoglobin j-guantanamo,by
PMC10800162,hemoglobin,hemoglobin,by
PMC10792707,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC10792707,self-management,self-management,by
PMC10792707,self-care,self-care,by
PMC10792707,personality traits,personality traits,by
PMC10792707,personality,personality,by
PMC10798649,stone in gallbladder,stone in gallbladder,by
PMC10798649,cholelithiasis,cholelithiasis,by
PMC10798649,qassim region,qassim region,by
PMC10798649,gallbladder stone disease,gallbladder stone disease,by
PMC10798649,gallstone disease,gallstone disease,by
PMC10811430,renal outcomes,renal outcomes,by
PMC10811430,cardiovascular protection,cardiovascular protection,by
PMC10811430,emerging therapies,emerging therapies,by
PMC10811430,sglt2 inhibitors,sglt2 inhibitors,by
PMC10811430,glp-1 receptor agonists,glp-1 receptor agonists,by
PMC10811430,diabetes management,diabetes management,by
PMC10808950,complications,complications,by
PMC10808950,metabolic control,metabolic control,by
PMC10808950,diabetes mellitus,diabetes mellitus,by
PMC10808950,covid-19,covid-19,by
PMC10808950,social isolation,social isolation,by
PMC10805624,myelitis,myelitis,by
PMC10805624,meningitis,meningitis,by
PMC10805624,encephalitis,encephalitis,by
PMC10805624,medulla oblongata,medulla oblongata,by
PMC10805624,cytotoxic t cell,cytotoxic t cell,by
PMC10805624,venule,venule,by
PMC10805624,perineural nets,perineural nets,by
PMC10805624,confluent demyelination,confluent demyelination,by
PMC10805624,perivenous demyelination,perivenous demyelination,by
PMC10805624,covid-19,covid-19,by
PMC10815781,diabetes mellitus,diabetes mellitus,by
PMC10815781,diabetic foot ulcers,diabetic foot ulcers,by
PMC10815781,type 2 diabetes,type 2 diabetes,by
PMC10815781,resource-limited setting,resource-limited setting,by
PMC10815781,offloading,offloading,by
PMC10815781,diabetes type 2,diabetes type 2,by
PMC10815781,diabetic foot ulcers management,diabetic foot ulcers management,by
PMC10800029,mechanical ventilator,mechanical ventilator,by
PMC10800029,ards,ards,by
PMC10800029,critical care,critical care,by
PMC10800029,blood group,blood group,by
PMC10800029,covid-19,covid-19,by
PMC10804211,personalized care,personalized care,by
PMC10804211,early detection,early detection,by
PMC10804211,diagnostic strategies,diagnostic strategies,by
PMC10804211,offspring complications,offspring complications,by
PMC10804211,maternal complications,maternal complications,by
PMC10804211,gestational diabetes mellitus (gdm),gestational diabetes mellitus (gdm),by
PMC10796130,ischemic stroke,ischemic stroke,by
PMC10796130,nonmem,nonmem,by
PMC10796130,diabetes,diabetes,by
PMC10796130,recurrent ischemic stroke,recurrent ischemic stroke,by
PMC10796130,time to event,time to event,by
PMC10810724,dm,dm,by
PMC10810724,diabetes type 2,diabetes type 2,by
PMC10810724,nafld,nafld,by
PMC10810724,systematic review and meta-analysis,systematic review and meta-analysis,by
PMC10810724,fatty liver disease,fatty liver disease,by
PMC10810724,non-alcoholic,non-alcoholic,by
PMC10810724,prevalence,prevalence,by
PMC10794094,age of onset of menopause,age of onset of menopause,by
PMC10794094,obesity,obesity,by
PMC10794094,ovarian aging,ovarian aging,by
PMC10794094,diabetes,diabetes,by
PMC10794094,pre-menopause,pre-menopause,by
PMC10794094,menopause,menopause,by
PMC10794094,t2dm,t2dm,by
PMC10817760,gastroenterology hepatology,gastroenterology hepatology,by
PMC10817760,sodium-glucose cotransporter-2 (sglt-2) inhibitors,sodium-glucose cotransporter-2 (sglt-2) inhibitors,by
PMC10817760,adult gastroenterology,adult gastroenterology,by
PMC10817760,general internal medicine,general internal medicine,by
PMC10817760,medication-induced pancreatitis,medication-induced pancreatitis,by
PMC10788661,embolization of middle meningeal artery,embolization of middle meningeal artery,by
PMC10788661,hypertension,hypertension,by
PMC10788661,head trauma,head trauma,by
PMC10788661,chronic subdural hematoma (csdh),chronic subdural hematoma (csdh),by
PMC10788661,acute on chronic subdural hematoma,acute on chronic subdural hematoma,by
PMC10783959,necrotizing infection,necrotizing infection,by
PMC10783959,conservative management,conservative management,by
PMC10783959,gas gangrene of stomach,gas gangrene of stomach,by
PMC10783959,gas-forming gastritis,gas-forming gastritis,by
PMC10783959,pneumomatosis gastritis,pneumomatosis gastritis,by
PMC10786216,mecca,mecca,by
PMC10786216,makkah,makkah,by
PMC10786216,antenatal education,antenatal education,by
PMC10786216,pregnancy,pregnancy,by
PMC10786216,gestational diabetes mellitus,gestational diabetes mellitus,by
PMC10786216,saudi women knowledge,saudi women knowledge,by
PMC10786216,risk factors of gdm,risk factors of gdm,by
PMC10786216,management of gdm,management of gdm,by
PMC10787595,non-alcoholic fatty liver disease (nafld),non-alcoholic fatty liver disease (nafld),by
PMC10787595,type 2 diabetes,type 2 diabetes,by
PMC10787595,fgf-21,fgf-21,by
PMC10787595,quicki,quicki,by
PMC10787595,fibroblast growth factor 21,fibroblast growth factor 21,by
PMC10791138,nigeria,nigeria,by
PMC10791138,ekiti state,ekiti state,by
PMC10791138,predictors,predictors,by
PMC10791138,risk factors,risk factors,by
PMC10791138,prevalence,prevalence,by
PMC10791138,diabetes mellitus,diabetes mellitus,by
PMC10790598,primary care,primary care,by
PMC10790598,epidemiology and public health,epidemiology and public health,by
PMC10790598,post-covid,post-covid,by
PMC10790598,long covid,long covid,by
PMC10790598,covid-19,covid-19,by
PMC10787628,wounded skin,wounded skin,by
PMC10787628,diabetic skin,diabetic skin,by
PMC10787628,lymphedema measurement,lymphedema measurement,by
PMC10787628,breast cancer related lymphedema,breast cancer related lymphedema,by
PMC10787628,bcrl,bcrl,by
PMC10787628,breast edema,breast edema,by
PMC10787628,edema,edema,by
PMC10787628,lymphedema,lymphedema,by
PMC10787628,permittivity,permittivity,by
PMC10787628,tissue dielectric constant,tissue dielectric constant,by
PMC10786188,immunocompromised,immunocompromised,by
PMC10786188,sinusitis,sinusitis,by
PMC10786188,amphotericin,amphotericin,by
PMC10786188,diabetes,diabetes,by
PMC10786188,cranial nerve palsy,cranial nerve palsy,by
PMC10786188,rhinocerebral mucormycosis,rhinocerebral mucormycosis,by
PMC10772480,type 2 diabetes,type 2 diabetes,by
PMC10772480,hepatic autophagy,hepatic autophagy,by
PMC10772480,chlorogenic acid,chlorogenic acid,by
PMC10772480,obesity and overweight,obesity and overweight,by
PMC10772480,caffeine intake,caffeine intake,by
PMC10772480,fatty liver disease,fatty liver disease,by
PMC10776451,disseminated aspergillosis,disseminated aspergillosis,by
PMC10776451,invasive aspergillosis,invasive aspergillosis,by
PMC10776451,pulmonary aspergillosis,pulmonary aspergillosis,by
PMC10776451,covid-19,covid-19,by
PMC10776451,covid-19-associated pulmonary aspergillosis (capa),covid-19-associated pulmonary aspergillosis (capa),by
PMC10777169,cross-sectional study,cross-sectional study,by
PMC10777169,al-baha region,al-baha region,by
PMC10777169,glaucoma risk factors,glaucoma risk factors,by
PMC10777169,intraocular pressure,intraocular pressure,by
PMC10777169,ocular hypertension,ocular hypertension,by
PMC10772310,gestational diabetes mellitus (gdm),gestational diabetes mellitus (gdm),by
PMC10772310,kingdom of saudi arabia (ksa),kingdom of saudi arabia (ksa),by
PMC10772310,al-baha region,al-baha region,by
PMC10772310,women,women,by
PMC10772310,awareness,awareness,by
PMC10779344,computed tomography,computed tomography,by
PMC10779344,percutaneous abscess drainage,percutaneous abscess drainage,by
PMC10779344,diabetes mellitus,diabetes mellitus,by
PMC10779344,low back pain,low back pain,by
PMC10779344,psoas abscess,psoas abscess,by
PMC10781452,lipid-lowering drugs,lipid-lowering drugs,by
PMC10781452,aging,aging,by
PMC10781452,Mendelian randomization,mendelian randomization,by
PMC10771968,cardiovascular disease,cardiovascular disease,by
PMC10771968,drug adherence,drug adherence,by
PMC10771968,bile acid sequestrant,bile acid sequestrant,by
PMC10771968,dopamine agonists,dopamine agonists,by
PMC10771968,insulin sensitivity,insulin sensitivity,by
PMC10771968,type ii diabetes,type ii diabetes,by
PMC10771968,colesevelam hydrochloride,colesevelam hydrochloride,by
PMC10771968,bromocriptine,bromocriptine,by
PMC10776454,digoxin,digoxin,by
PMC10776454,plants,plants,by
PMC10776454,environmental toxicology,environmental toxicology,by
PMC10776454,yellow oleander,yellow oleander,by
PMC10776454,thevetia peruviana,thevetia peruviana,by
PMC10769535,glucagon-like peptide-1 receptor agonist (glp-1 ra),glucagon-like peptide-1 receptor agonist (glp-1 ra),by
PMC10769535,review of clinical trials,review of clinical trials,by
PMC10769535,management of heart failure,management of heart failure,by
PMC10769535,glp-1 analogs,glp-1 analogs,by
PMC10769535,literature review,literature review,by
PMC10769535,pub-med indexed research,pub-med indexed research,by
PMC10769535,heart failure with preserved ejection fraction,heart failure with preserved ejection fraction,by
PMC10769535,heart failure with reduced ejection fraction,heart failure with reduced ejection fraction,by
PMC10769535,liraglutide,liraglutide,by
PMC10763517,lab interpretation,lab interpretation,by
PMC10763517,laboratory test,laboratory test,by
PMC10763517,haemoglobin a1c,haemoglobin a1c,by
PMC10763517,anaemia,anaemia,by
PMC10763517,diabetes control,diabetes control,by
PMC10771633,nash,nash,by
PMC10771633,nafld,nafld,by
PMC10771633,non-alcoholic fatty liver disease,non-alcoholic fatty liver disease,by
PMC10771633,natural substances,natural substances,by
PMC10771633,treatment,treatment,by
PMC10771633,diagnosis,diagnosis,by
PMC10764296,home and hospice care,home and hospice care,by
PMC10764296,mortality trends,mortality trends,by
PMC10764296,factors,factors,by
PMC10764296,predictors,predictors,by
PMC10764296,diabetes mellitus,diabetes mellitus,by
PMC10770577,pioglitazone,pioglitazone,by
PMC10770577,insulin resistance,insulin resistance,by
PMC10770577,lobeglitazone,lobeglitazone,by
PMC10770577,thiazolidinediones,thiazolidinediones,by
PMC10770577,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC10764202,tumor necrosis factor-alpha,tumor necrosis factor-alpha,by
PMC10764202,meta-analysis,meta-analysis,by
PMC10764202,systematic review,systematic review,by
PMC10764202,diabetes mellitus,diabetes mellitus,by
PMC10764202,diabetic peripheral neuropathy,diabetic peripheral neuropathy,by
PMC10771033,total cholesterol level,total cholesterol level,by
PMC10771033,triglyceride,triglyceride,by
PMC10771033,high density lipoprotein-cholesterol,high density lipoprotein-cholesterol,by
PMC10771033,low density lipoprotein-cholesterol,low density lipoprotein-cholesterol,by
PMC10771033,random blood glucose (rbg),random blood glucose (rbg),by
PMC10771033,fasting blood glucose (fbg),fasting blood glucose (fbg),by
PMC10771033,glycosylated hemoglobin (hba1c),glycosylated hemoglobin (hba1c),by
PMC10771033,types 2 diabetes,types 2 diabetes,by
PMC10771104,glp-1r,glp-1r,by
PMC10771104,gip-r,gip-r,by
PMC10771104,type 2 diabetes mellitus,type 2 diabetes mellitus,by
PMC10771104,tirzepatide,tirzepatide,by
PMC10771104,biphasic anaphylactic reaction,biphasic anaphylactic reaction,by
PMC10762880,family,family,by
PMC10762880,qassim,qassim,by
PMC10762880,knowledge,knowledge,by
PMC10762880,complications,complications,by
PMC10762880,diabetes,diabetes,by
PMC10762880,awareness,awareness,by
PMC10768942,abdominal pain,abdominal pain,by
PMC10768942,pancreatic mass,pancreatic mass,by
PMC10768942,superior mesenteric vein thrombosis,superior mesenteric vein thrombosis,by
PMC10768942,pancreatitis,pancreatitis,by
PMC10768942,glp-1 agonist,glp-1 agonist,by
PMC10769121,arrhythmia,arrhythmia,by
PMC10769121,cardiovascular disease,cardiovascular disease,by
PMC10769121,caffeine,caffeine,by
PMC10769121,coffee,coffee,by
PMC10769121,tea,tea,by
PMC10770574,immunoglobulin g-4 (igg4) related systemic disease,immunoglobulin g-4 (igg4) related systemic disease,by
PMC10770574,igg4 disease,igg4 disease,by
PMC10770574,immune disorder,immune disorder,by
PMC10770574,igg4 pleural involvement,igg4 pleural involvement,by
PMC10770574,igg4 -related disease,igg4 -related disease,by
PMC10769865,incretin-related drugs,incretin-related drugs,by
PMC10769865,conservative therapy,conservative therapy,by
PMC10769865,total parenteral nutrition,total parenteral nutrition,by
PMC10769865,intestinal pseudo-obstruction,intestinal pseudo-obstruction,by
PMC10769865,melas,melas,by
PMC10765456,vitamin d hydroxylase,vitamin d hydroxylase,by
PMC10765456,lipid profile,lipid profile,by
PMC10765456,obesity,obesity,by
PMC10765456,diabetes mellitus,diabetes mellitus,by
PMC10765456,vitamin d,vitamin d,by
PMC10765265,idiopathic portal cavernoma,idiopathic portal cavernoma,by
PMC10765265,acute on chronic pancreatitis,acute on chronic pancreatitis,by
PMC10765265,type 2 diabetic mellitus with diabetic neuropathy,type 2 diabetic mellitus with diabetic neuropathy,by
PMC10765265,young male,young male,by
PMC10765265,chronic invasive pulmonary aspergillosis,chronic invasive pulmonary aspergillosis,by
PMC10755084,older adults,older adults,by
PMC10755084,functional impairment,functional impairment,by
PMC10755084,falls,falls,by
PMC10755084,frailty,frailty,by
PMC10755084,diabetes,diabetes,by
PMC10755084,sarcopenic obesity,sarcopenic obesity,by
PMC10757316,tuberculosis (tb),tuberculosis (tb),by
PMC10757316,treatment-resistant hypertension,treatment-resistant hypertension,by
PMC10757316,medication interaction,medication interaction,by
PMC10757316,systemic hypertension,systemic hypertension,by
PMC10757316,anti-hypertensives,anti-hypertensives,by
PMC10757316,anti-tuberculosis therapy,anti-tuberculosis therapy,by
PMC10757316,rifampicin,rifampicin,by
PMC10755086,diabetic retinopathy,diabetic retinopathy,by
PMC10755086,impaired glucose tolerance,impaired glucose tolerance,by
PMC10755086,prevalence,prevalence,by
PMC10755086,impaired fasting glucose,impaired fasting glucose,by
PMC10755086,prediabetes,prediabetes,by
PMC10755644,longitudinal study,longitudinal study,by
PMC10755644,visual pathway dysfunction,visual pathway dysfunction,by
PMC10755644,diabetes in pregancy,diabetes in pregancy,by
PMC10755644,visual evoked potentials,visual evoked potentials,by
