pmcid,pmid,doi,licence,licence_source,retrieval_batch,keyword_group_classification_rule,n_confidently_author_keywords,included_in_benchmark_construction
PMC5887903,29531021.0,10.15252/emmm.201708689,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_1e3114563c385cb2,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC5842840,29410390.0,10.18632/aging.101375,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_35d94a9f68ad59e9,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC5840545,29374012.0,10.15252/emmm.201708046,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_35d94a9f68ad59e9,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC5838636,29541260.0,10.2174/1874192401812010007,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_35d94a9f68ad59e9,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7238456,32509275.0,10.12688/f1000research.20781.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_a5054d8ec618e927,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC6948676,31938624.0,10.7759/cureus.6336,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e5555459f3e024c3,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC6932911,31806859.0,10.18632/aging.102512,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_1cde268ac366bfd1,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC6914402,31760385.0,10.18632/aging.102469,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6126c0088aae5032,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC6834398,31631065.0,10.18632/aging.102249,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_921b28fc94cf8e55,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC6814622,31590160.0,10.18632/aging.102337,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_921b28fc94cf8e55,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC6816448,31681473.0,10.12688/f1000research.19279.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_921b28fc94cf8e55,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC6738403,31449493.0,10.18632/aging.102196,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_88c7f3341dc126e4,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC6738422,31437127.0,10.18632/aging.102192,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_88c7f3341dc126e4,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC6756873,31518336.0,10.18632/aging.102245,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_88c7f3341dc126e4,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC6726901,31423716.0,10.15252/embr.201947903,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_c87503e8929747b9,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC6682534,31307014.0,10.18632/aging.102089,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e3a1d3bb32522613,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC6662872,31366669.0,10.3399/bjgpopen18X101638,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e3a1d3bb32522613,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC6685081,31282614.0,10.15252/emmm.201910409,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e3a1d3bb32522613,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC6674232,31464373.0,10.15252/msb.20198849,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e25243e55e657fa4,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6660045,31280253.0,10.18632/aging.102061,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e25243e55e657fa4,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC6595317,31189568.0,10.1042/BCJ20180714,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_0c2d9f2eff2b6fef,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC6597240,31244471.0,10.7554/eLife.43578,CC0,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_0c1236ad9b47cdef,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6535075,31061237.0,10.18632/aging.101949,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_b18a3431a04cad2e,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6535054,31085804.0,10.18632/aging.101944,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_b18a3431a04cad2e,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC6530605,31131096.0,10.12688/f1000research.16890.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_3c2a1297ed39802a,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6480860,31049409.0,10.3399/bjgpopen18X101628,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_d1f3029aff2f1600,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC6480851,31049416.0,10.3399/bjgpopen18X101636,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_d1f3029aff2f1600,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC6480935,31069069.0,10.12688/f1000research.18188.3,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_d1f3029aff2f1600,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC6461177,30897065.0,10.18632/aging.101865,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_db858ce160a30b5a,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC6428089,30867335.0,10.18632/aging.101854,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e4327bff97a50ad3,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC8080987,33968374.0,10.12688/f1000research.26855.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_51dc9a1c43525278,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC6366976,30669119.0,10.18632/aging.101684,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_51dc9a1c43525278,confidently_author only (ambiguous/clearly_not_author excluded),1,False
PMC6366988,30694216.0,10.18632/aging.101781,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_51dc9a1c43525278,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8278245,34316365.0,10.12688/f1000research.26022.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_51dc9a1c43525278,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7880398,33316780.0,10.18632/aging.202275,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_addf11b17610d5c7,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7880388,33323553.0,10.18632/aging.202168,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_addf11b17610d5c7,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7880357,33318306.0,10.18632/aging.202228,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_addf11b17610d5c7,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7835018,33291080.0,10.18632/aging.202302,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_addf11b17610d5c7,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7835052,33293478.0,10.18632/aging.202319,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_addf11b17610d5c7,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC7835035,33290260.0,10.18632/aging.202218,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_addf11b17610d5c7,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7803490,33342766.0,10.18632/aging.104106,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_120b05e8073226cf,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7803515,33234730.0,10.18632/aging.202174,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_120b05e8073226cf,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7791351,33456761.0,10.12688/f1000research.25593.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_120b05e8073226cf,confidently_author only (ambiguous/clearly_not_author excluded),7,False
PMC7746375,33221742.0,10.18632/aging.104098,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ab3ff30f2133d2a,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7746358,33197889.0,10.18632/aging.103891,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ab3ff30f2133d2a,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7762520,33226371.0,10.18632/aging.104133,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ab3ff30f2133d2a,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7746331,33202379.0,10.18632/aging.103887,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ab3ff30f2133d2a,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7762484,33223509.0,10.18632/aging.104101,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4ab3ff30f2133d2a,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC7676396,33299546.0,10.12688/f1000research.22825.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_cee8fca1c3e02553,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7695426,33176279.0,10.18632/aging.103978,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_cee8fca1c3e02553,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7695387,33180745.0,10.18632/aging.103877,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_cee8fca1c3e02553,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC7655221,33049715.0,10.18632/aging.104093,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ae3b2ac213638837,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7607482,33163160.0,10.12688/f1000research.26186.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_82b4e0b1d6f6f805,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7585073,32938817.0,10.18632/aging.103693,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_82b4e0b1d6f6f805,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7586374,33133792.0,10.7759/cureus.11130,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_112befd44e169cc1,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7549177,33093943.0,10.12688/f1000research.23457.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_750e90a165d0e033,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7539074,33083689.0,10.12688/hrbopenres.12947.3,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_750e90a165d0e033,confidently_author only (ambiguous/clearly_not_author excluded),9,True
PMC7521520,32920548.0,10.18632/aging.103756,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_b419576e63d5ac9e,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7467390,32805719.0,10.18632/aging.103776,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_1a682b24d444cc18,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7467369,32756005.0,10.18632/aging.103426,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_1a682b24d444cc18,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7453922,32904391.0,10.7717/peerj.9741,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_7c8fdb04b31edc78,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7463300,32923686.0,10.12688/wellcomeopenres.15531.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_7c8fdb04b31edc78,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7461002,32816392.0,10.15252/emmm.202013038,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4b0548030e794eda,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7425475,32697764.0,10.18632/aging.103505,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ce8e5cdb392bdadb,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7425513,32699183.0,10.18632/aging.103358,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ce8e5cdb392bdadb,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC7425465,32692723.0,10.18632/aging.103469,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ce8e5cdb392bdadb,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC7425467,32701482.0,10.18632/aging.103435,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ce8e5cdb392bdadb,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7425515,32699185.0,10.18632/aging.103521,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ce8e5cdb392bdadb,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7425483,32680978.0,10.18632/aging.103478,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_ce8e5cdb392bdadb,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7377876,32634783.0,10.18632/aging.103399,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_636738f915369f02,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7377852,32611833.0,10.18632/aging.103304,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_636738f915369f02,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7377889,32589614.0,10.18632/aging.103266,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_636738f915369f02,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7343475,32584785.0,10.18632/aging.103607,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f11f2c5936b0f807,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC7346076,32433039.0,10.18632/aging.103299,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_2dab7951118c40a8,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC7346021,32484786.0,10.18632/aging.103259,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_2dab7951118c40a8,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC7343507,32544883.0,10.18632/aging.103230,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_2dab7951118c40a8,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8961197,35387273.0,10.12688/f1000research.52114.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_726588c6aeb458df,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC9308000,35928807.0,10.12688/wellcomeopenres.17238.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_726588c6aeb458df,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8719279,35136454.0,10.2174/1874306402115010046,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_58771c9815a0e028,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC8786296,34882233.0,10.1042/BST20210244,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_58771c9815a0e028,confidently_author only (ambiguous/clearly_not_author excluded),3,False
PMC8783627,34491825.0,10.1089/dia.2021.0140,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_58771c9815a0e028,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8866909,35265321.0,10.12688/f1000research.27744.3,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_58771c9815a0e028,confidently_author only (ambiguous/clearly_not_author excluded),13,True
PMC8783624,34524005.0,10.1089/dia.2021.0199,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_58771c9815a0e028,confidently_author only (ambiguous/clearly_not_author excluded),10,True
PMC8787437,34825525.0,10.1002/advs.202102466,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_58771c9815a0e028,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC8729021,35036832.0,10.12688/aasopenres.13049.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f678b97d0e571cff,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC8660601,34845114.0,10.18632/aging.203694,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4a9d83cf033e7c9e,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8593624,34912543.0,10.12688/f1000research.55573.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4a9d83cf033e7c9e,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC8649966,34925767.0,10.12688/f1000research.51729.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4a9d83cf033e7c9e,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC8596187,34904053.0,10.12688/f1000research.53803.3,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_afc71f1b58c1da5c,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC8577060,34804491.0,10.12688/f1000research.28346.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4d1a50f4e75aa795,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC8610129,34740995.0,10.18632/aging.203679,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4d1a50f4e75aa795,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8589412,34581756.0,10.1042/BST20210207,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_bb89a5399e2754c4,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8561611,34745566.0,10.12688/f1000research.73112.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_99a53b6adbee850e,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC8544326,34610580.0,10.18632/aging.203586,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_d7d9ba8266d3df77,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8507303,34528898.0,10.18632/aging.203539,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_d7b3fc57dd3a51e6,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC8501470,33784196.0,10.1089/dia.2021.0097,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e793a27d3a2a99c,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC8501458,33844588.0,10.1089/dia.2021.0107,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e793a27d3a2a99c,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC8459622,34621512.0,10.12688/f1000research.53970.2,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_5a3be0afc51a0cef,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC10285340,37362009.0,10.12688/wellcomeopenres.17735.1,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_1137456c9d91dbe7,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC10156041,37274843.0,10.2174/17450179-v18-e2209010,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_1137456c9d91dbe7,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC10277979,36342782.0,10.1089/tmj.2022.0377,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_1137456c9d91dbe7,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC9904780,36229068.0,10.3399/BJGPO.2022.0070,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_a7fb9aecf724d410,confidently_author only (ambiguous/clearly_not_author excluded),9,True
PMC9904790,36109020.0,10.3399/BJGPO.2022.0079,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4927ce991d63dada,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC9904771,35728816.0,10.3399/BJGPO.2021.0240,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4927ce991d63dada,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC9807248,35891590.0,10.1089/thy.2022.0025,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_74d4ed491610e51c,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC9811955,36636743.0,10.1089/neur.2022.0056,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_74d4ed491610e51c,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC9804259,35852024.0,10.1111/add.16005,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_106c524019710ed6,confidently_author only (ambiguous/clearly_not_author excluded),9,True
PMC9792204,36516495.0,10.18632/aging.204434,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_4eadf41135d6c196,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC9740381,36399107.0,10.18632/aging.204393,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_31db7f343c694b96,confidently_author only (ambiguous/clearly_not_author excluded),5,False
PMC9712051,36479368.0,10.1089/whr.2022.0043,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_6e74632c1a8cad32,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC9699764,36326689.0,10.18632/aging.204364,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_06865433a90653c6,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC9683781,36412575.0,10.7554/eLife.81498,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_83cd4f36b186c653,confidently_author only (ambiguous/clearly_not_author excluded),6,False
PMC9680760,35640964.0,10.3399/BJGPO.2021.0200,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_cf5b834fb399cdaf,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC9680740,35443978.0,10.3399/BJGPO.2021.0241,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_cf5b834fb399cdaf,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC9640193,36342465.0,10.7554/eLife.82810,CC0,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_76d642d29987c8d7,confidently_author only (ambiguous/clearly_not_author excluded),3,True
PMC11232475,38983799.0,10.7759/cureus.42303,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_3b47df75f703a831,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11061715,38694238.0,10.5812/ijem-135866,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC11131981,38127000.0,10.18632/aging.205333,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),4,False
PMC11041996,38665147.0,10.5812/ijem-141550,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC11041815,38666044.0,10.5812/ijem-138377,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC11176708,37591556.0,10.3399/BJGPO.2023.0103,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC11041820,38666042.0,10.5812/ijem-139768,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),4,True
PMC10280997,36397628.0,10.2174/1573403X19666221116113208,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC10877389,37552818.0,10.1089/tmj.2023.0094,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),7,True
PMC10879742,37691190.0,10.2174/1389450124666230907115831,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_f557c5af46b6a5d6,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC10828751,38299137.0,10.7759/cureus.51419,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e53474731c11c827,confidently_author only (ambiguous/clearly_not_author excluded),6,True
PMC10822685,38283494.0,10.7759/cureus.51296,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e53474731c11c827,confidently_author only (ambiguous/clearly_not_author excluded),5,True
PMC10556372,36372924.0,10.2174/1570159X21999221111102343,CC BY,JATS <permissions> (cross-checked via PMC OAI-PMH pmc_fm where available),efetch_e53474731c11c827,confidently_author only (ambiguous/clearly_not_author excluded),7,True
