	Circular economy	circular economy	Sustainability	Recycling	sustainability	Waste management	Life cycle assessment	recycling	Circular Economy	Sustainable development	waste management	Industry 4.0	sustainable development	Resource recovery	Anaerobic digestion	Food waste	Biorefinery	Waste	Bioeconomy	LCA	Reuse	Pyrolysis	Biomass	industrial ecology	Biochar	Wastewater treatment	Adsorption	Biogas	Wastewater	Industrial symbiosis	Renewable energy	Plastic waste	life cycle assessment	Resource efficiency	Climate change	Waste valorization	Remanufacturing	Microalgae	waste	China	Bioenergy	Environmental sustainability	Circularity	Barriers	Municipal solid waste	Valorization	Material flow analysis	Environmental impact	Circular economy (CE)	Sustainable development goals	COVID-19	Environment	Innovation	E-waste	reuse	Supply chain	Sewage sludge	climate change	3D printing	biomass	Machine learning	Bibliometric analysis	Nutrient recovery	Industrial ecology	Waste-to-energy	food waste	Reverse logistics	Literature review	Mechanical properties	European Union	Biodiesel	Systematic literature review	anaerobic digestion	Recovery	Carbon footprint	WEEE	renewable energy	Circular business models	bioeconomy	SMEs	Additive manufacturing	Optimization	Construction and demolition waste	Life cycle assessment (LCA)	Digitalization	Agriculture	waste valorization	Energy	Supply chain management	Business model	Energy recovery	circularity	Closed-loop supply chain	Packaging	adsorption	wastewater	mechanical properties	Indicators	biogas	Sustainable consumption
Bibliometric analysis	49	3	23	2	1	7	1	1	3	8	0	2	0	2	0	4	0	2	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	2	2	0	2	0	0	1	0	3	0	2	0	0	0	3	0	0	0	0	0	0	0	1	2	0	0	8	0	1	0	8	0	0	0	0	0	1	0	0	0	0	1	1	2	2	0	1	2	1	1	0	0	1	0	0	0	0	0	1
Nutrient recovery	56	0	2	1	0	3	3	0	1	0	0	0	0	6	8	1	0	2	2	2	0	2	0	0	3	7	3	0	5	0	0	0	0	0	3	2	0	4	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Industrial ecology	76	0	10	7	0	8	8	0	0	4	0	1	0	2	1	1	0	0	1	2	0	1	0	0	0	0	0	0	0	15	2	1	0	2	0	0	1	0	0	2	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Waste-to-energy	71	1	13	8	0	12	6	0	2	2	0	1	1	0	5	3	1	3	1	1	0	8	4	0	0	1	1	3	0	0	3	0	0	0	0	6	0	0	0	0	1	1	0	0	6	0	2	1	0	0	1	0	0	2	0	2	2	0	0	0	0	2	1	0	0	0	0	0	0	0	4	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0
food waste	4	51	1	0	15	0	0	1	1	0	4	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	7	0
Reverse logistics	61	1	15	5	0	4	0	0	0	2	0	3	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	8	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	2	0	0	0	0	0	1
Literature review	70	0	26	6	0	3	7	0	1	5	0	5	0	1	1	3	0	1	0	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	2	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0	1	0	0	3	1	0	1	0	0	8	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	3	2	0	1	0	0	3	1	1	0	4	1	0	0	0	0	0	1
Mechanical properties	29	0	9	11	0	4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
European Union	34	25	7	3	3	2	0	3	11	3	2	0	6	0	0	0	0	3	1	0	0	0	2	1	0	0	0	0	0	1	0	0	1	1	2	1	0	0	0	6	0	0	0	1	1	0	0	0	1	2	0	3	2	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Biodiesel	36	0	4	3	0	1	2	0	2	1	0	0	0	2	2	1	10	0	0	1	0	3	0	0	3	3	0	4	1	0	3	0	0	1	0	1	0	8	0	0	2	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Systematic literature review	61	1	19	3	0	3	1	0	2	9	0	4	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	0	0	2	1	1	6	1	0	1	1	0	0	1	1	0	0	0	2	0	0	0	0	1	8	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	3	0	0	3	0	0	0	0	1	0	1
anaerobic digestion	0	30	0	0	3	0	0	0	0	0	5	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	17	0
Recovery	42	0	5	20	0	4	1	0	0	1	0	0	0	0	1	0	1	2	0	0	8	2	2	0	1	0	4	1	3	2	0	2	0	0	0	2	0	1	0	0	0	2	0	0	2	3	1	0	2	0	0	1	1	2	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0
Carbon footprint	59	0	9	7	0	4	13	0	0	3	0	1	0	2	0	1	1	0	1	4	2	0	2	0	0	1	0	1	0	0	0	0	0	1	3	1	0	1	0	2	0	2	0	0	0	0	0	4	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
WEEE	40	15	2	15	3	3	4	10	6	1	2	0	0	2	0	0	0	0	0	2	7	2	0	0	0	0	1	0	1	0	0	0	0	3	2	0	0	0	1	0	0	0	1	0	1	0	3	1	0	1	0	1	0	10	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
renewable energy	2	49	0	0	10	0	0	3	0	0	7	0	7	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	4	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
Circular business models	67	1	10	1	1	1	3	0	1	4	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	1	0	0	0	1	0	0	4	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1
bioeconomy	1	58	1	0	12	0	0	3	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
SMEs	38	18	9	2	5	1	0	0	5	0	0	6	3	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
Additive manufacturing	45	1	19	19	1	0	5	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	1	0	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Optimization	33	0	6	4	0	2	8	0	4	1	0	1	0	1	0	1	2	1	0	0	1	2	1	0	0	0	0	3	0	3	2	1	0	1	0	3	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	4	0	0	0	0	3	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Construction and demolition waste	49	2	2	12	0	12	10	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	1	0	0	2	2	0	1	0	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
Life cycle assessment (LCA)	51	0	11	10	0	1	0	0	0	2	0	1	0	1	1	0	2	1	3	0	3	1	0	0	0	0	0	0	1	3	2	1	0	1	2	0	0	0	0	0	2	4	0	0	0	0	0	3	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Digitalization	50	0	12	2	0	3	2	0	4	1	0	18	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	1	0	1	2	1	0	0	0	1	0	1	3	0	2	0	0	1	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Agriculture	45	1	10	1	0	8	0	0	0	6	0	1	0	0	1	1	1	3	8	1	1	1	1	0	1	1	0	2	7	0	1	1	0	0	0	0	0	3	1	0	1	0	2	2	0	0	0	0	0	1	0	1	1	0	0	1	2	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0
waste valorization	1	47	0	0	8	0	0	4	0	0	3	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Energy	48	0	12	5	0	5	1	0	2	2	0	1	0	2	3	2	3	7	2	1	0	2	3	0	1	0	0	4	8	4	2	1	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0	0	1	0	6	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	1	0	0
Supply chain management	50	2	24	3	0	3	1	0	1	6	0	7	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	4	0	0	0	0	0	1	1	0	0	0	0	2	0	3	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	4	3	0	0	0	4	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	6	1	0	0	0	0	0	0
Business model	67	0	19	4	0	1	1	0	1	3	0	3	0	1	0	1	0	0	2	0	3	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	2	1	0	5	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
Energy recovery	42	0	2	4	0	9	4	0	0	1	0	0	0	6	12	3	0	1	0	0	1	5	3	0	1	3	0	4	1	0	2	0	0	1	1	1	0	1	0	0	0	2	0	0	4	0	4	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	4	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
circularity	3	28	0	0	24	0	0	3	1	0	4	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Closed-loop supply chain	51	0	18	2	0	4	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1
Packaging	39	0	14	7	0	5	4	0	4	0	0	0	0	0	0	2	0	6	1	4	5	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	1	0	1	1	1	3	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	1	1	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
adsorption	0	24	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0
wastewater	0	29	0	0	1	0	0	2	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0
mechanical properties	0	19	0	0	7	0	0	8	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indicators	55	0	14	1	0	3	3	0	2	4	0	0	0	1	0	0	0	1	4	1	0	0	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	5	1	1	0	1	0	2	2	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
biogas	0	38	0	0	3	0	0	0	0	0	5	0	2	0	2	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	17	0	0	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Sustainable consumption	55	0	2	3	0	4	1	0	0	1	0	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	5	0	0	0	0	0	2	1	0	0	0	1	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
