keyword_a	keyword_b	weight
Closed-loop supply chain	Systematic literature review	5
Greenhouse gas emissions	industrial ecology	5
Biochar	Bioenergy	5
Life cycle assessment	Lithium-ion batteries	5
Biofuels	Waste valorization	5
Optimization	Supply chain	5
Industry 4.0	Municipal solid waste	5
Life cycle assessment	Mechanical properties	5
Life cycle assessment	Waste recycling	5
Industrial symbiosis	Wastewater	5
Waste	Wastewater	5
Carbon footprint	Waste management	5
Bioplastics	Microalgae	5
Plastic waste	Supply chain	5
Textile waste	Waste	5
Biopolymers	Environmental sustainability	5
Plastic waste	Waste valorization	5
Bioplastics	Food waste	5
Bioeconomy	Lignocellulosic biomass	5
Bioenergy	Waste management	5
Municipal solid waste	Resource recovery	5
Bioplastics	Waste valorization	5
Bioenergy	Resource recovery	5
Plastic waste	Recovery	5
Food waste	Waste-to-energy	5
Critical raw materials	End-of-life	5
Biopolymers	Lignocellulosic biomass	5
Waste	bioactive compounds	5
Pyrolysis	polyphenols	5
Bibliometric analysis	Bioeconomy	5
Environmental sustainability	Valorization	5
Environmental sustainability	WEEE	5
Biomass	Heavy metals	5
Material flow analysis	Waste-to-energy	5
Circular supply chain	Literature review	5
Biochar	Biogas	5
Renewable energy	Sustainable development goals	5
Renewable energy	Waste	5
Biorefinery	Recycling	5
Biorefinery	Sewage sludge	5
Agriculture	Sewage sludge	5
Circular business models	Digitalization	5
Sustainable development goals	industrial ecology	5
Biochar	Hydrogen	5
Food waste	Microalgae	5
Digitalization	Recycling	5
Food waste	Techno-economic analysis	5
Business model	industrial ecology	5
Literature review	Remanufacturing	5
Biofuels	Climate change	5
Climate change	Nutrient recovery	5
Adsorption	Nutrient recovery	5
Environmental sustainability	Machine learning	5
CO<sub>2</sub> emissions	industrial ecology	5
Bioenergy	Valorization	5
Bioplastics	Biorefinery	5
Food supply chain	Supply chain	5
Plastic waste	Remanufacturing	5
Anaerobic digestion	Waste	5
Biogas	Waste	5
Climate change	Material flow analysis	5
Biopolymers	Composting	5
COVID-19	Resource recovery	5
Resource recovery	Waste valorization	5
Biochar	Biofuels	5
Closed-loop supply chain	by-products	5
European Union	Waste	5
Adsorption	Reuse	5
3D printing	Environmental sustainability	5
Bioeconomy	Resource efficiency	5
Lithium-ion batteries	Reuse	5
Decision-making	Reverse logistics	5
Bioeconomy	Plastic waste	5
E-waste	End-of-life	5
Adsorption	Waste valorization	5
Hydrogen	Waste	5
Critical raw materials	Supply chain	5
Product-service system	Systematic literature review	5
Lithium-ion batteries	Recovery	5
Biopolymers	Waste	5
Environmental sustainability	by-products	5
Industry 4.0	Resource recovery	5
Circular business models	Closed-loop supply chain	5
Biorefinery	Pyrolysis	5
Biopolymers	Recycling	5
CO<sub>2</sub> emissions	Construction and demolition waste	5
Construction and demolition waste	Mechanical properties	5
Food waste	Upcycling	5
Chemical recycling	Techno-economic analysis	5
Literature review	Supply chain	5
Food supply chain	by-products	5
Biofuels	CO<sub>2</sub> emissions	5
China	Construction and demolition waste	5
China	Waste management	5
3D printing	Life cycle assessment	5
Bioeconomy	Microalgae	5
Closed-loop supply chain	Environmental sustainability	5
Literature review	Supply chain management	5
Optimization	Waste management	5
Supply chain management	Waste management	5
Agriculture	Wastewater treatment	5
Supply chain	Waste	5
Biomass	bioactive compounds	5
Composting	Wastewater	5
Bioeconomy	Circular business models	5
Indicators	Waste management	5
Electric vehicles	Remanufacturing	5
End-of-life	Reverse logistics	5
Renewable energy	Resource recovery	5
Construction	End-of-life	5
Decision-making	Environmental sustainability	5
CO<sub>2</sub> emissions	Waste management	5
End-of-life	Municipal solid waste	5
CO<sub>2</sub> emissions	Plastic waste	5
Climate change	Innovation	5
Additive manufacturing	Biodegradable	5
Hydrogen	Recycling	5
Environmental sustainability	Hydrogen	5
Construction and demolition waste	Waste recycling	5
Supply chain	Systematic literature review	5
Environmental sustainability	Sewage sludge	5
Environmental sustainability	Waste recycling	5
Machine learning	industrial ecology	5
Environmental sustainability	Upcycling	5
Barriers	Supply chain	5
Agriculture	Lignocellulosic biomass	5
Food waste	Wastewater	5
Anaerobic digestion	Lignocellulosic biomass	5
Carbon footprint	Greenhouse gas emissions	5
Biodegradable	Biomass	5
Biopolymers	Plastic waste	5
Bibliometric analysis	Digitalization	5
Case study	Food supply chain	5
End-of-life	Plastic waste	5
Energy	Valorization	5
Climate change	Construction	5
Agriculture	Microalgae	5
Closed-loop supply chain	Industry 4.0	5
Critical raw materials	Waste management	5
Digitalization	Resource recovery	5
Anaerobic digestion	Hydrogen	4
Biofuels	Hydrogen	4
Energy	Plastic waste	4
Material flow analysis	Textile waste	4
Indicators	Wastewater	4
Food waste	Municipal solid waste	4
European Union	Wastewater	4
Adsorption	Recovery	4
Food waste	Renewable energy	4
Valorization	polyphenols	4
Construction and demolition waste	Waste	4
Business model	Supply chain management	4
Reuse	Upcycling	4
Indicators	Resource recovery	4
Adsorption	Composting	4
Greenhouse gas emissions	Resource efficiency	4
Adsorption	Biowaste	4
Circular business models	Electric vehicles	4
Environmental sustainability	Lignocellulosic biomass	4
Barriers	Recycling	4
Chemical recycling	Upcycling	4
Policy	Resource recovery	4
Biofuels	bioactive compounds	4
End-of-life	Resource recovery	4
Climate change	Microalgae	4
Environmental sustainability	Microalgae	4
Barriers	Case study	4
Carbon footprint	Resource recovery	4
Construction	Machine learning	4
Bioeconomy	Food supply chain	4
Climate change	Wastewater	4
Agriculture	COVID-19	4
Waste	by-products	4
Waste	polyphenols	4
Bibliometric analysis	Life cycle assessment	4
Energy	Industrial symbiosis	4
COVID-19	Food waste	4
Bioenergy	Waste	4
Recycling	Sewage sludge	4
Biogas	Municipal solid waste	4
Biodegradable	Environmental sustainability	4
Plastic waste	Policy	4
COVID-19	Municipal solid waste	4
Bibliometric analysis	industrial ecology	4
Hydrogen	Lignocellulosic biomass	4
Case study	Circular supply chain	4
Lignocellulosic biomass	Pyrolysis	4
bioactive compounds	polyphenols	4
Digitalization	Life cycle assessment	4
Digitalization	Remanufacturing	4
Plastic waste	Waste recycling	4
Policy	Wastewater	4
Circular business models	Recycling	4
Biofuels	Food waste	4
Construction	Innovation	4
Innovation	Resource recovery	4
Agriculture	Barriers	4
Agriculture	Food waste	4
Agriculture	Municipal solid waste	4
Bioeconomy	Wastewater	4
Case study	Life cycle assessment	4
Plastic waste	Resource efficiency	4
Biogas	Environmental sustainability	4
Biofuels	Sustainable development goals	4
Bioeconomy	Techno-economic analysis	4
Bioeconomy	Waste valorization	4
Biorefinery	Resource recovery	4
3D printing	Biopolymers	4
Decision-making	Machine learning	4
E-waste	Life cycle assessment	4
China	Plastic waste	4
Case study	Digitalization	4
Biogas	Sewage sludge	4
Renewable energy	Sewage sludge	4
Construction	Digitalization	4
E-waste	industrial ecology	4
Plastic waste	WEEE	4
End-of-life	Waste	4
Closed-loop supply chain	Recycling	4
Business model	Life cycle assessment	4
Municipal solid waste	Recovery	4
Business model	Food supply chain	4
Construction	Reverse logistics	4
Digitalization	Resource efficiency	4
Resource efficiency	Supply chain	4
Construction	Supply chain	4
Biomass	Sustainable development goals	4
Industry 4.0	Machine learning	4
Material flow analysis	Recovery	4
Industrial symbiosis	Optimization	4
Literature review	industrial ecology	4
Bibliometric analysis	Remanufacturing	4
Biochar	Recycling	4
Biochar	Biorefinery	4
Remanufacturing	by-products	4
Industry 4.0	Resource efficiency	4
COVID-19	Food supply chain	4
Biofuels	Techno-economic analysis	4
Bioenergy	Lignocellulosic biomass	4
Wastewater	by-products	4
Case study	Waste management	4
Biogas	Greenhouse gas emissions	4
Biowaste	Greenhouse gas emissions	4
Innovation	Waste management	4
Optimization	Wastewater	4
Reuse	Supply chain	4
Closed-loop supply chain	Supply chain	4
3D printing	Waste	4
Recycling	SMEs	4
Biorefinery	polyphenols	4
Wastewater treatment	industrial ecology	4
Upcycling	by-products	4
Anaerobic digestion	Climate change	4
Biomass	Climate change	4
Industrial symbiosis	SMEs	4
Biowaste	Sewage sludge	4
Policy	Remanufacturing	4
Literature review	Reverse logistics	4
SMEs	industrial ecology	4
Biomass	Food waste	4
Climate change	European Union	4
European Union	Sustainable development goals	4
Composting	Waste-to-energy	4
Biomass	industrial ecology	4
Biomass	Nutrient recovery	4
Barriers	Environmental sustainability	4
Additive manufacturing	Plastic waste	4
Recycling	Systematic literature review	4
Material flow analysis	Waste	4
Resource recovery	Techno-economic analysis	4
Systematic literature review	industrial ecology	4
Municipal solid waste	Textile waste	4
Biowaste	Resource recovery	4
Biowaste	Nutrient recovery	4
Food waste	Sewage sludge	4
Biochar	Food waste	4
Biochar	Techno-economic analysis	4
Environmental sustainability	Reverse logistics	4
Energy	Hydrogen	4
Innovation	industrial ecology	4
Pyrolysis	Waste	4
Waste valorization	polyphenols	4
Food waste	Policy	4
Heavy metals	Sewage sludge	4
Biomass	Greenhouse gas emissions	4
Machine learning	Nutrient recovery	4
European Union	Indicators	4
Critical raw materials	Renewable energy	4
Business model	Policy	4
Biodegradable	Packaging	4
Business model	Reuse	4
Closed-loop supply chain	industrial ecology	4
Biowaste	Decision-making	4
Life cycle assessment	Lignocellulosic biomass	4
Industrial symbiosis	Supply chain	4
Literature review	Waste management	4
Reverse logistics	Systematic literature review	4
Energy	Nutrient recovery	4
Circular business models	Systematic literature review	4
Resource efficiency	Sustainable development goals	4
Remanufacturing	Waste	4
Electric vehicles	End-of-life	4
Critical raw materials	Environmental sustainability	4
Chemical recycling	Hydrogen	4
Hydrogen	Techno-economic analysis	4
Electric vehicles	Environmental sustainability	4
3D printing	Mechanical properties	4
Food supply chain	Systematic literature review	4
European Union	Plastic waste	4
Biorefinery	bioactive compounds	4
China	Municipal solid waste	4
Food supply chain	polyphenols	4
Circular business models	Resource recovery	4
Biofuels	Bioplastics	4
Construction	Product-service system	4
Adsorption	Valorization	4
Mechanical properties	Waste	4
Biogas	Lignocellulosic biomass	4
Biowaste	by-products	4
Biochar	Valorization	4
Biopolymers	Food supply chain	4
Bioeconomy	Nutrient recovery	4
Plastic waste	Renewable energy	4
Resource recovery	SMEs	4
Biopolymers	Waste valorization	4
Critical raw materials	European Union	4
Biochar	Waste management	4
Food supply chain	Waste management	4
Resource recovery	Reverse logistics	4
Lignocellulosic biomass	Valorization	4
Remanufacturing	WEEE	4
Energy	Life cycle assessment	4
Biofuels	Food supply chain	4
Agriculture	Waste recycling	4
Bioplastics	Mechanical properties	4
Additive manufacturing	Mechanical properties	4
Carbon footprint	Climate change	4
Adsorption	Plastic waste	4
COVID-19	Digitalization	4
Decision-making	Resource recovery	4
Food supply chain	bioactive compounds	4
Resource recovery	Sustainable development goals	4
Agriculture	Bioplastics	4
Biochar	Wastewater treatment	4
Digitalization	Food supply chain	4
COVID-19	Waste	4
Biowaste	Recycling	4
Case study	Construction	3
China	Renewable energy	3
Waste management	by-products	3
CO<sub>2</sub> emissions	Hydrogen	3
Case study	Municipal solid waste	3
Recycling	Supply chain management	3
Circular business models	Reuse	3
Bioenergy	Waste-to-energy	3
Bioenergy	Environmental sustainability	3
Packaging	Reverse logistics	3
WEEE	Wastewater	3
Nutrient recovery	Recovery	3
Circular business models	Lithium-ion batteries	3
Closed-loop supply chain	WEEE	3
Eco-design	Industry 4.0	3
Case study	Industry 4.0	3
Agriculture	Plastic waste	3
Barriers	Construction and demolition waste	3
Barriers	Wastewater	3
Construction	Policy	3
Bioeconomy	bioactive compounds	3
Product-service system	Resource recovery	3
End-of-life	Renewable energy	3
E-waste	Resource recovery	3
Bibliometric analysis	Municipal solid waste	3
Bioenergy	Microalgae	3
Agriculture	Sustainable development goals	3
COVID-19	Sustainable development goals	3
Innovation	Resource efficiency	3
Resource efficiency	WEEE	3
Electric vehicles	Optimization	3
Chemical recycling	End-of-life	3
Heavy metals	Pyrolysis	3
Industry 4.0	Material flow analysis	3
CO<sub>2</sub> emissions	Optimization	3
Innovation	Reverse logistics	3
Waste recycling	Wastewater	3
Composting	Textile waste	3
Literature review	WEEE	3
Mechanical properties	Wastewater	3
Remanufacturing	SMEs	3
Remanufacturing	Systematic literature review	3
Policy	Sustainable development goals	3
Food supply chain	Waste	3
Greenhouse gas emissions	Waste-to-energy	3
Policy	Reuse	3
Circular supply chain	E-waste	3
Bioeconomy	Pyrolysis	3
Resource recovery	Valorization	3
Wastewater	bioactive compounds	3
Optimization	Waste valorization	3
Biofuels	Waste recycling	3
Recovery	Waste valorization	3
Renewable energy	Resource efficiency	3
Construction and demolition waste	Decision-making	3
Eco-design	Packaging	3
Indicators	industrial ecology	3
Environmental sustainability	Mechanical properties	3
Decision-making	industrial ecology	3
Biodegradable	antioxidants	3
Industry 4.0	Recycling	3
Municipal solid waste	Waste recycling	3
Bioeconomy	Resource recovery	3
Agriculture	industrial ecology	3
Life cycle assessment	Microalgae	3
Systematic literature review	Waste management	3
Closed-loop supply chain	End-of-life	3
Renewable energy	Reuse	3
Innovation	Textile waste	3
Construction and demolition waste	Resource efficiency	3
Bibliometric analysis	Recovery	3
Biogas	Waste valorization	3
Bibliometric analysis	Plastic waste	3
Circular business models	Construction	3
Industry 4.0	Reuse	3
Biodegradable	Life cycle assessment	3
Bioeconomy	Energy	3
Reuse	Reverse logistics	3
Climate change	WEEE	3
Hydrogen	Waste valorization	3
Industrial symbiosis	Waste-to-energy	3
Biorefinery	Sustainable development goals	3
Resource efficiency	SMEs	3
Construction	SMEs	3
Plastic waste	Sewage sludge	3
Critical raw materials	Reuse	3
Business model	Food waste	3
Remanufacturing	Upcycling	3
Bioeconomy	CO<sub>2</sub> emissions	3
Food supply chain	Literature review	3
Biogas	Optimization	3
Anaerobic digestion	Recycling	3
Case study	Reuse	3
Biochar	Food supply chain	3
Bioenergy	Climate change	3
Industrial symbiosis	Recovery	3
Barriers	Indicators	3
Biogas	Microalgae	3
Composting	Material flow analysis	3
Eco-design	Industrial symbiosis	3
Biomass	Techno-economic analysis	3
Industrial symbiosis	Waste valorization	3
Business model	Resource recovery	3
Greenhouse gas emissions	Reuse	3
Bioplastics	Biowaste	3
Bioplastics	Valorization	3
Circular supply chain	Environmental sustainability	3
Decision-making	Optimization	3
Heavy metals	Waste management	3
Critical raw materials	Life cycle assessment	3
Life cycle assessment	Recovery	3
Food supply chain	industrial ecology	3
Food waste	industrial ecology	3
Industrial symbiosis	Literature review	3
Business model	Decision-making	3
Material flow analysis	Policy	3
Chemical recycling	Environmental sustainability	3
COVID-19	Waste recycling	3
Life cycle assessment	Systematic literature review	3
Anaerobic digestion	Valorization	3
Barriers	Plastic waste	3
Case study	Product-service system	3
Agriculture	Reuse	3
Bioplastics	industrial ecology	3
Municipal solid waste	Waste	3
Decision-making	Sewage sludge	3
Biodegradable	Biogas	3
Biodegradable	Hydrogen	3
3D printing	Composting	3
European Union	Life cycle assessment	3
Construction	Greenhouse gas emissions	3
Techno-economic analysis	industrial ecology	3
Biofuels	Industrial symbiosis	3
Construction	Industrial symbiosis	3
Food waste	antioxidants	3
Product-service system	Recycling	3
Product-service system	Reuse	3
Reuse	Systematic literature review	3
Adsorption	Waste	3
Lignocellulosic biomass	Plastic waste	3
Energy	Innovation	3
Agriculture	Biorefinery	3
Agriculture	Energy	3
Construction	Energy	3
Material flow analysis	Sustainable development goals	3
Agriculture	Hydrogen	3
Lithium-ion batteries	Wastewater	3
Lithium-ion batteries	industrial ecology	3
Energy	Industry 4.0	3
Municipal solid waste	Waste valorization	3
Food waste	Resource efficiency	3
Material flow analysis	Supply chain	3
Industry 4.0	Optimization	3
Business model	Electric vehicles	3
Business model	Lithium-ion batteries	3
Recovery	Valorization	3
Waste	antioxidants	3
Bioeconomy	Material flow analysis	3
Construction and demolition waste	Policy	3
Circular business models	Upcycling	3
Industrial symbiosis	Innovation	3
CO<sub>2</sub> emissions	Techno-economic analysis	3
Circular business models	Innovation	3
Indicators	Sustainable development goals	3
Industrial symbiosis	Reuse	3
Digitalization	Machine learning	3
Bibliometric analysis	Microalgae	3
Food supply chain	Resource recovery	3
Bioenergy	Hydrogen	3
Industry 4.0	WEEE	3
Biogas	Carbon footprint	3
Bioeconomy	Waste-to-energy	3
Pyrolysis	Renewable energy	3
Innovation	Remanufacturing	3
CO<sub>2</sub> emissions	Resource recovery	3
Pyrolysis	Techno-economic analysis	3
Valorization	Waste-to-energy	3
Circular business models	Industrial symbiosis	3
Barriers	China	3
Policy	Waste	3
Supply chain	Waste-to-energy	3
Bioenergy	Biowaste	3
Carbon footprint	industrial ecology	3
China	Wastewater	3
Literature review	Product-service system	3
Heavy metals	Resource recovery	3
Biomass	Material flow analysis	3
Biomass	Construction	3
Business model	Material flow analysis	3
Case study	Packaging	3
Decision-making	Material flow analysis	3
CO<sub>2</sub> emissions	Energy	3
Food supply chain	Renewable energy	3
Biogas	CO<sub>2</sub> emissions	3
Resource recovery	WEEE	3
Climate change	Municipal solid waste	3
Climate change	Energy	3
Biogas	industrial ecology	3
Greenhouse gas emissions	Sustainable development goals	3
Heavy metals	WEEE	3
Bioenergy	by-products	3
Nutrient recovery	Pyrolysis	3
Municipal solid waste	WEEE	3
Construction and demolition waste	Literature review	3
Hydrogen	Microalgae	3
Product-service system	Waste management	3
Bioenergy	Food waste	3
End-of-life	Recovery	3
Circular supply chain	Product-service system	3
Reverse logistics	by-products	3
Systematic literature review	by-products	3
European Union	industrial ecology	3
Food waste	Literature review	3
Indicators	Industry 4.0	3
Barriers	industrial ecology	3
Business model	Closed-loop supply chain	3
Waste valorization	by-products	3
Energy	Greenhouse gas emissions	3
Greenhouse gas emissions	Material flow analysis	3
Indicators	Resource efficiency	3
Lithium-ion batteries	Resource recovery	3
Textile waste	Upcycling	3
E-waste	Reuse	3
Food waste	Sustainable development goals	3
Machine learning	Remanufacturing	3
Bioplastics	Chemical recycling	3
3D printing	Waste recycling	3
Eco-design	Waste management	3
Biowaste	Heavy metals	3
Machine learning	Systematic literature review	3
Climate change	Digitalization	3
Biorefinery	Carbon footprint	3
Bibliometric analysis	Renewable energy	3
Literature review	Resource efficiency	3
Digitalization	Material flow analysis	3
Decision-making	Sustainable development goals	3
Barriers	Municipal solid waste	3
Composting	Heavy metals	3
Techno-economic analysis	Waste-to-energy	3
Nutrient recovery	Waste	3
E-waste	Plastic waste	3
Agriculture	Bibliometric analysis	3
Bibliometric analysis	Waste	3
Remanufacturing	Sustainable development goals	3
CO<sub>2</sub> emissions	Greenhouse gas emissions	3
Digitalization	industrial ecology	3
Bioplastics	Lignocellulosic biomass	3
Biomass	Sewage sludge	3
Mechanical properties	Waste recycling	3
Agriculture	Supply chain	3
Plastic waste	Textile waste	3
Decision-making	by-products	3
Upcycling	industrial ecology	3
Biomass	Valorization	3
Waste-to-energy	industrial ecology	3
Heavy metals	Life cycle assessment	3
Digitalization	Sustainable development goals	3
Barriers	Upcycling	3
Agriculture	Industry 4.0	3
Waste valorization	bioactive compounds	3
Greenhouse gas emissions	Microalgae	3
Food supply chain	antioxidants	3
Biogas	Pyrolysis	3
Food waste	Pyrolysis	3
European Union	Lithium-ion batteries	3
Valorization	industrial ecology	3
Upcycling	Waste management	3
Barriers	Reverse logistics	3
Composting	Greenhouse gas emissions	3
Reverse logistics	Sustainable development goals	3
Machine learning	Microalgae	3
European Union	Supply chain	3
Circular business models	Renewable energy	3
Biochar	Waste valorization	3
Microalgae	Valorization	3
E-waste	Recovery	3
Bioplastics	End-of-life	3
Chemical recycling	Waste management	3
Food supply chain	Pyrolysis	3
Bibliometric analysis	Wastewater	3
European Union	Innovation	3
Additive manufacturing	Upcycling	3
Innovation	Sustainable development goals	3
Decision-making	Renewable energy	3
Optimization	Pyrolysis	3
Industry 4.0	Waste	3
Heavy metals	Waste valorization	3
Bibliometric analysis	European Union	3
Machine learning	Sustainable development goals	3
Agriculture	Mechanical properties	3
Barriers	Electric vehicles	3
Microalgae	Renewable energy	3
Optimization	industrial ecology	3
Sustainable development goals	Waste valorization	3
Biorefinery	Optimization	3
Biochar	Greenhouse gas emissions	3
Bioeconomy	Carbon footprint	3
Biomass	Food supply chain	3
COVID-19	Wastewater	3
Biomass	Biowaste	3
Biofuels	Waste	3
Waste valorization	industrial ecology	3
Food waste	Industrial symbiosis	3
Greenhouse gas emissions	Supply chain	3
Recycling	antioxidants	3
Innovation	Plastic waste	3
Food supply chain	SMEs	3
3D printing	Bioplastics	3
3D printing	Waste valorization	3
Biofuels	Biowaste	3
Biomass	Composting	3
Greenhouse gas emissions	Resource recovery	3
Agriculture	Climate change	3
Climate change	Wastewater treatment	3
Agriculture	Pyrolysis	3
Biopolymers	Microalgae	3
CO<sub>2</sub> emissions	COVID-19	3
Circular supply chain	SMEs	3
Bibliometric analysis	SMEs	3
Waste management	polyphenols	3
Biowaste	Waste recycling	3
Biorefinery	Nutrient recovery	3
Digitalization	Supply chain	3
Energy	Sewage sludge	3
Circular business models	Plastic waste	3
Adsorption	Agriculture	3
Decision-making	Systematic literature review	3
Decision-making	Waste	3
Plastic waste	Reverse logistics	3
Bioeconomy	Supply chain	3
Decision-making	Resource efficiency	3
Food supply chain	Industrial symbiosis	3
Biochar	Climate change	3
COVID-19	Carbon footprint	3
Closed-loop supply chain	Lithium-ion batteries	3
COVID-19	Pyrolysis	3
Greenhouse gas emissions	Waste	3
Barriers	European Union	2
Energy	Pyrolysis	2
Environmental sustainability	Optimization	2
Case study	Food waste	2
Lignocellulosic biomass	Waste management	2
Composting	Valorization	2
Electric vehicles	Supply chain management	2
Anaerobic digestion	Food supply chain	2
Innovation	Supply chain management	2
Reverse logistics	Waste	2
COVID-19	Recycling	2
Nutrient recovery	Techno-economic analysis	2
Techno-economic analysis	Wastewater	2
Construction	Optimization	2
Optimization	Reuse	2
Electric vehicles	Reverse logistics	2
Eco-design	Lithium-ion batteries	2
Biochar	Biowaste	2
Biowaste	Waste-to-energy	2
Circular business models	Eco-design	2
Bioenergy	Systematic literature review	2
Case study	Literature review	2
CO<sub>2</sub> emissions	Heavy metals	2
Energy	Policy	2
Construction and demolition waste	Wastewater	2
Bioenergy	bioactive compounds	2
Bioeconomy	by-products	2
End-of-life	Product-service system	2
Food waste	Packaging	2
Bibliometric analysis	Waste-to-energy	2
Biofuels	Supply chain	2
China	Industrial symbiosis	2
Circular supply chain	Plastic waste	2
Biopolymers	Hydrogen	2
Renewable energy	Wastewater	2
Industrial symbiosis	Upcycling	2
Food waste	Plastic waste	2
Resource recovery	Waste recycling	2
Machine learning	Supply chain	2
SMEs	Systematic literature review	2
Climate change	Policy	2
COVID-19	Waste-to-energy	2
Policy	industrial ecology	2
Food supply chain	Packaging	2
Barriers	End-of-life	2
Case study	E-waste	2
Case study	WEEE	2
Circular supply chain	WEEE	2
Bibliometric analysis	Closed-loop supply chain	2
Biofuels	Plastic waste	2
Greenhouse gas emissions	Lignocellulosic biomass	2
Biogas	Business model	2
Biogas	Circular business models	2
E-waste	Wastewater	2
Chemical recycling	Waste-to-energy	2
Biogas	Techno-economic analysis	2
Bioeconomy	Upcycling	2
End-of-life	Wastewater	2
Indicators	Recycling	2
Indicators	Remanufacturing	2
Anaerobic digestion	Mechanical properties	2
Carbon footprint	Reuse	2
Additive manufacturing	Material flow analysis	2
Circular business models	Supply chain management	2
Business model	E-waste	2
Circular business models	Material flow analysis	2
Mechanical properties	industrial ecology	2
Resource efficiency	Waste recycling	2
Food supply chain	Waste valorization	2
Optimization	Remanufacturing	2
Policy	Sewage sludge	2
Biopolymers	Resource recovery	2
Biochar	Resource recovery	2
Barriers	Innovation	2
Barriers	Textile waste	2
3D printing	Material flow analysis	2
Circular supply chain	Digitalization	2
Food waste	Material flow analysis	2
Critical raw materials	Wastewater	2
Material flow analysis	Wastewater treatment	2
Adsorption	CO<sub>2</sub> emissions	2
Renewable energy	Waste valorization	2
Sewage sludge	Waste valorization	2
Hydrogen	Sewage sludge	2
China	Life cycle assessment	2
Business model	Textile waste	2
Digitalization	Plastic waste	2
Digitalization	Wastewater	2
Composting	polyphenols	2
Bioeconomy	Wastewater treatment	2
Lignocellulosic biomass	Waste valorization	2
Biofuels	Nutrient recovery	2
Bioeconomy	End-of-life	2
Industry 4.0	Waste-to-energy	2
Food waste	Innovation	2
Biofuels	Biopolymers	2
Biopolymers	Sustainable development goals	2
Biochar	Microalgae	2
Industrial symbiosis	Systematic literature review	2
Biofuels	Optimization	2
Optimization	Renewable energy	2
Optimization	Waste recycling	2
Biopolymers	CO<sub>2</sub> emissions	2
Construction	Eco-design	2
SMEs	Supply chain	2
Waste recycling	Waste-to-energy	2
Carbon footprint	Textile waste	2
Case study	Material flow analysis	2
Circular business models	European Union	2
Resource recovery	Waste-to-energy	2
Food waste	Heavy metals	2
Bioplastics	Renewable energy	2
Biopolymers	Renewable energy	2
Biochar	Biodegradable	2
Climate change	Textile waste	2
Anaerobic digestion	Industrial symbiosis	2
Biogas	Industrial symbiosis	2
Energy	Waste-to-energy	2
Biofuels	Decision-making	2
Biochar	Construction	2
Biorefinery	Decision-making	2
Biogas	Resource recovery	2
Optimization	Resource recovery	2
Nutrient recovery	Resource efficiency	2
Agriculture	Biopolymers	2
Bioeconomy	COVID-19	2
End-of-life	Optimization	2
Biofuels	Sewage sludge	2
Anaerobic digestion	Reuse	2
Biofuels	Recovery	2
Biorefinery	Food supply chain	2
Sewage sludge	Waste recycling	2
Pyrolysis	WEEE	2
Construction and demolition waste	Supply chain management	2
Mechanical properties	polyphenols	2
Case study	SMEs	2
Case study	Policy	2
Case study	Sustainable development goals	2
Biomass	Recovery	2
Closed-loop supply chain	Innovation	2
Waste	Wastewater treatment	2
Waste recycling	industrial ecology	2
Wastewater	polyphenols	2
Composting	Remanufacturing	2
Barriers	Supply chain management	2
COVID-19	Heavy metals	2
Eco-design	Waste	2
E-waste	Supply chain	2
Sewage sludge	Waste	2
Decision-making	Lithium-ion batteries	2
Food supply chain	Wastewater	2
Biomass	Optimization	2
Decision-making	Indicators	2
Innovation	Product-service system	2
Additive manufacturing	Industrial symbiosis	2
Food supply chain	Reverse logistics	2
Circular supply chain	Industrial symbiosis	2
COVID-19	Systematic literature review	2
Packaging	Resource efficiency	2
Anaerobic digestion	by-products	2
COVID-19	European Union	2
Plastic waste	Waste-to-energy	2
Bioeconomy	Composting	2
Barriers	E-waste	2
CO<sub>2</sub> emissions	Mechanical properties	2
Anaerobic digestion	Biodegradable	2
China	Electric vehicles	2
Food waste	Hydrogen	2
Bibliometric analysis	Circular business models	2
Material flow analysis	Nutrient recovery	2
Biomass	European Union	2
Hydrogen	Waste management	2
Decision-making	Plastic waste	2
Techno-economic analysis	Waste management	2
Product-service system	Supply chain management	2
Upcycling	Waste	2
Agriculture	European Union	2
Waste valorization	antioxidants	2
Circular business models	Indicators	2
Food waste	by-products	2
Eco-design	Remanufacturing	2
Barriers	Eco-design	2
Life cycle assessment	Valorization	2
Bioenergy	Decision-making	2
Climate change	Resource efficiency	2
Biodegradable	Microalgae	2
Biofuels	Wastewater treatment	2
End-of-life	Resource efficiency	2
Pyrolysis	antioxidants	2
Carbon footprint	China	2
Closed-loop supply chain	Reuse	2
Biogas	Material flow analysis	2
Construction and demolition waste	Systematic literature review	2
Sewage sludge	Upcycling	2
Upcycling	Wastewater treatment	2
Case study	Reverse logistics	2
Biochar	antioxidants	2
Agriculture	Biowaste	2
Biogas	Reuse	2
Pyrolysis	Recovery	2
Case study	Resource efficiency	2
Greenhouse gas emissions	Nutrient recovery	2
Biopolymers	Wastewater treatment	2
Biorefinery	Policy	2
Agriculture	Innovation	2
Innovation	Nutrient recovery	2
E-waste	Waste	2
Construction and demolition waste	Resource recovery	2
Reuse	Sustainable development goals	2
Anaerobic digestion	Sustainable development goals	2
Biogas	Sustainable development goals	2
Closed-loop supply chain	Plastic waste	2
Barriers	Product-service system	2
Critical raw materials	Eco-design	2
Techno-economic analysis	Waste	2
Eco-design	Plastic waste	2
Biodegradable	Municipal solid waste	2
