keyword,canonical_form,cluster_id,freq
Copper smelter dust,Copper smelter dust,Copper smelter dust,1
Natural resource conservation,Natural resource conservation,Natural resource conservation,1
Resource recovery technique,Resource recovery technique,Resource recovery technique,1
Multi-culture,Multi-culture,Multi-culture,1
Recirculation of nutrient solution,Recirculation of nutrient solution,Recirculation of nutrient solution,1
Fuzzy Delphi method,Fuzzy Delphi,Fuzzy Delphi,22
Interpretive structural modelling,Interpretive structural modeling,Interpretive structural modeling,29
Quintuple Helix Model,Quintuple Helix Model,Quintuple Helix Model,6
Environmental policies,Environmental sustainability,Environmental sustainability,1324
Pay as you throw,Pay as you throw,Pay as you throw,1
FOG,FOG,FOG,1
Wastewater derived lipids,Wastewater derived lipids,Wastewater derived lipids,1
Wastewater valorization,Waste valorisation,Waste valorisation,68
High rate algal mesocosms,High rate algal mesocosms,High rate algal mesocosms,2
Microalgal productivity,Microalgal productivity,Microalgal productivity,2
Microalgal treatment systems,Microalgal treatment systems,Microalgal treatment systems,2
Miasma,Miasma,Miasma,1
Plastic-free stores,Plastic-free stores,Plastic-free stores,1
Waste crisis,Waste crisis,Waste crisis,4
Aluminum,Aluminum,Aluminum,23
Arithmetical mean roughness,Arithmetical mean roughness,Arithmetical mean roughness,1
Drilling,Drilling,Drilling,2
Dry machining,Dry machining,Dry machining,1
Hybrid components,Hybrid components,Hybrid components,1
Light alloys,Light alloys,Light alloys,1
Magnesium,Magnesium,Magnesium,8
Repair and maintenance operations,Repair and maintenance operations,Repair and maintenance operations,1
Historiographic analysis,Historiographic analysis,Historiographic analysis,1
Thematic mapping,Thematic mapping,Thematic mapping,2
Topic modeling,Topic modeling,Topic modeling,8
Okra,Okra,Okra,1
Passion fruit,Passion fruit,Passion fruit,2
Alkali activated material,Alkali-activated materials,Alkali-activated materials,31
Façade panels,Façade panels,Façade panels,1
Pilot production,Pilot production,Pilot production,2
Contaminants removal,Contaminants removal,Contaminants removal,1
Iron cycle,Iron cycle,Iron cycle,2
Zero valent iron,Zero valent iron,Zero valent iron,3
Environment impact,Environmental sustainability,Environmental sustainability,1324
Waste trade,Wastewater,Wastewater,497
"Closed-loop supply chain, 3D printing platform","Closed-loop supply chain, 3D printing platform","Closed-loop supply chain, 3D printing platform",1
Product quality differentiation,Product quality differentiation,Product quality differentiation,1
Fire resistance,Fire resistance,Fire resistance,8
Recycled aggregate concrete (RAC),Recycled aggregate concrete (RAC),Recycled aggregate concrete (RAC),2
Reinforced RAC beams,Reinforced RAC beams,Reinforced RAC beams,1
Reinforced RAC columns,Reinforced RAC columns,Reinforced RAC columns,1
Airborne PM,Airborne PM,Airborne PM,1
Porous material,porous materials,porous materials,8
Waste material,Wastewater,Wastewater,497
Nutrition,nutrition,nutrition,14
Omega-3 fatty acids,Omega-3 fatty acids,Omega-3 fatty acids,7
α-tocopherol,α-tocopherol,α-tocopherol,1
Ecosystem-based approach,Ecosystem-based approach,Ecosystem-based approach,1
Integrated coastal zone management,Integrated coastal zone management,Integrated coastal zone management,1
Integrated multitrophic aquaculture (IMTA),Integrated multitrophic aquaculture (IMTA),Integrated multitrophic aquaculture (IMTA),1
Macroalgae and bivalve aquaculture,Macroalgae and bivalve aquaculture,Macroalgae and bivalve aquaculture,1
Organic matter pollution,Organic matter pollution,Organic matter pollution,1
Mechanical testing,Mechanical recycling,Mechanical recycling,112
Treated wood,Treated wood,Treated wood,2
Antiinflammatory activity,anti-inflammatory,anti-inflammatory,17
"Ferulic acid, antioxidant activity","Ferulic acid, antioxidant activity","Ferulic acid, antioxidant activity",1
Ultraflo XL,Ultraflo XL,Ultraflo XL,1
Wheat bran,Wheat bran,Wheat bran,2
Macro-nutrients,macronutrients,macronutrients,9
Nutrient cycle,Nutrient recovery,Nutrient recovery,286
Pyrogenic material,Pyrogenic material,Pyrogenic material,1
Biocatalyst,Biocatalysis,Biocatalysis,25
Bioinformatics,Bioinformatics,Bioinformatics,3
Extremophile,extremophiles,extremophiles,6
Bioresource recovery,Bioresource recovery,Bioresource recovery,3
Bioliquid,bioliquids,bioliquids,3
Over-sieve residues,Over-sieve residues,Over-sieve residues,1
Special waste,Special waste,Special waste,8
biorecycling,biorecycling,biorecycling,4
PET hydrolases,PET hydrolase,PET hydrolase,6
PETases,PET waste,PET waste,15
synthetic polymer,Synthetic polymers,Synthetic polymers,3
Building envelopes,building envelope,building envelope,5
Cement-free matrix,Cement-free matrix,Cement-free matrix,1
Energy and mechanical efficiency,Energy and mechanical efficiency,Energy and mechanical efficiency,1
FRCM,FRCM,FRCM,1
Geopolymer mortar,Geopolymer mortar,Geopolymer mortar,2
transportation,Transformation,Transformation,47
Ecofriendly solutions,Ecofriendly solutions,Ecofriendly solutions,1
Natural resources consumption,Natural resources consumption,Natural resources consumption,1
Recycling and reusability,Recycling and reusability,Recycling and reusability,1
Battery systems,Battery systems,Battery systems,3
PLLA,PLLA,PLLA,1
Porous membranes,Porous membranes,Porous membranes,2
Cellphone waste,Cellphone waste,Cellphone waste,1
Electronic products,Electronic products,Electronic products,4
Mexico,Mexico,Mexico,7
Value capture,Value capture,Value capture,5
Economy-wide material flow analysis,Economy-wide material flow analysis,Economy-wide material flow analysis,1
In-use material stocks,in-use material stocks,in-use material stocks,2
Stock-flow-service nexus,Stock-flow-service nexus,Stock-flow-service nexus,1
Biological pretreatment,Biological treatment,Biological treatment,19
Hydrolysis stage,Hydrogen,Hydrogen,174
Multi-stage digestion,Multi-stage digestion,Multi-stage digestion,1
sustainable supply chain,Sustainability,Sustainability,5297
Aromatic extraction,Aromatic extraction,Aromatic extraction,1
Recycled polystyrene,Recycled polystyrene,Recycled polystyrene,1
Good practice,Good practices,Good practices,7
Feed application,Feed application,Feed application,1
Insects,Insect,Insect,26
Energy return on investment,Energy return on investment,Energy return on investment,3
Hotspot analysis,hotspot analysis,hotspot analysis,3
Macrophytes,Macrophytes,Macrophytes,3
Lightweight materials,Lightweight aggregate,Lightweight aggregate,35
Metal forming,Metal forming,Metal forming,1
Performance-Constraints-Mechanism-Innovation (PCMI),Performance-Constraints-Mechanism-Innovation (PCMI),Performance-Constraints-Mechanism-Innovation (PCMI),1
Beach cast volume,Beach cast volume,Beach cast volume,1
Ocean coverage,Ocean coverage,Ocean coverage,1
Sargasso dynamics,Sargasso dynamics,Sargasso dynamics,1
Sargasso uses,Sargasso uses,Sargasso uses,1
Domestic water utilization,Domestic water utilization,Domestic water utilization,1
Influential factors,Influential factors,Influential factors,3
Kota Metro,Kota Metro,Kota Metro,1
Public preferences,Public preferences,Public preferences,2
Phenol,phenolics,phenolics,47
Pharmaceutical industry,Pharmaceutical industry,Pharmaceutical industry,2
Safe water re-use,Safe water re-use,Safe water re-use,1
Crassulaceae,Crassulaceae,Crassulaceae,1
Residue,Residues,Residues,27
Sábila,Sábila,Sábila,1
Trigonelline,Trigonelline,Trigonelline,2
Agricultural water reuse,Agricultural water reuse,Agricultural water reuse,1
Nutrient recovery and reuse,Nutrient recovery,Nutrient recovery,286
Berries,Berries,Berries,3
Fatty-acids,Fatty acids,Fatty acids,34
Pomace,POME,POME,8
Hydrodeoxygenation,Hydrodeoxygenation,Hydrodeoxygenation,4
Interesterification,Interesterification,Interesterification,1
Anaerobic digestion plants,Anaerobic digestion plants,Anaerobic digestion plants,1
Wales,Wales,Wales,1
Green consumption policy,Green consumption policy,Green consumption policy,1
Policy text,Policy text,Policy text,1
Pollution control,Pollution control,Pollution control,8
Metabolic Engineering,Metabolic engineering,Metabolic engineering,24
Microbiology,Microbial protein,Microbial protein,38
Feed-in tariff (FiT),Feed-in-Tariff (FiT),Feed-in-Tariff (FiT),2
Injection,Injection,Injection,3
Net present value (NPV),Net present value (NPV),Net present value (NPV),1
POME,POME,POME,8
System optimization,System optimization,System optimization,2
Variable renewable energy,Variable renewable energy,Variable renewable energy,1
Additive,Additives,Additives,25
HFFR,HFFR,HFFR,1
HFR,HFR,HFR,1
Acrolein,Acrolein,Acrolein,1
Catalytic dehydration,Catalytic dehydration,Catalytic dehydration,1
Partial oxidation,Partial oxidation,Partial oxidation,2
Value-added chemicals,Value-added chemicals,Value-added chemicals,8
A. Laminates,A. Laminates,A. Laminates,1
D. Mechanical testing,D. Mechanical testing,D. Mechanical testing,1
E. Compression moulding,E. Compression moulding,E. Compression moulding,1
E. Recycling,E. Recycling,E. Recycling,1
Emission abatement,Emission abatement,Emission abatement,1
Interior design,interior design,interior design,5
Wooden door,Wooden door,Wooden door,1
Emulsifying properties,Emulsifying properties,Emulsifying properties,2
Flaxseed,Flaxseed,Flaxseed,4
Flaxseed gum,Flaxseed gum,Flaxseed gum,1
Biological activity,Biological activity,Biological activity,14
Green extraction technologies,Green extraction,Green extraction,55
Green technologies effects,Green technologies effects,Green technologies effects,1
Vitis vinifera,Vitis vinifera,Vitis vinifera,3
design for recycling,design for recycling,design for recycling,35
recyclable,Recycling,Recycling,1899
shelf life,shelf life,shelf life,18
Animal feedstuff,Animal feed,Animal feed,29
Insect larva,Insect larva,Insect larva,1
Material footprint,Material footprint,Material footprint,17
Rebound,Rebound,Rebound,2
Community action,Community action,Community action,1
Inclusive development,Inclusive development,Inclusive development,1
Peasant movements,Peasant movements,Peasant movements,1
Waste picker cooperatives,Waste picker cooperatives,Waste picker cooperatives,1
Hybrid life cycle assessment,Hybrid life cycle assessment,Hybrid life cycle assessment,3
Management institution,Management institution,Management institution,1
electronic waste,Electronic waste,Electronic waste,88
pollution abatement,pollution abatement,pollution abatement,2
sustainable processing,Sustainability,Sustainability,5297
Technoeconomic analysis,Techno-economic analysis,Techno-economic analysis,132
Waste polypropylene,Waste polypropylene,Waste polypropylene,2
awareness,Awareness,Awareness,20
logistic regression,logistic regression,logistic regression,6
restaurant owner,restaurant owner,restaurant owner,1
Hydroxyapatite,Hydroxyapatite,Hydroxyapatite,13
Precipitates,Precipitates,Precipitates,1
Buried electrical cables,Buried electrical cables,Buried electrical cables,1
Fluidized Thermal Backfill (FTB),Fluidized Thermal Backfill (FTB),Fluidized Thermal Backfill (FTB),1
Resilient modulus,Resilient modulus,Resilient modulus,2
Sawing sludge,Sawing sludges,Sawing sludges,3
Automotive scrap,Automotive scrap,Automotive scrap,1
Galvanized sheet metal,Galvanized sheet metal,Galvanized sheet metal,1
Metal façade systems,Metal façade systems,Metal façade systems,1
Artificial reef,Artificial reefs,Artificial reefs,6
Mussel industry,Mussel industry,Mussel industry,1
Organic residues,organic residues,organic residues,5
Copper supply,Copper supply,Copper supply,1
Green Fence policy,Green Fence policy,Green Fence policy,1
Scrap import ban,Scrap import ban,Scrap import ban,1
non-hazardous industrial waste (NHIW),non-hazardous industrial waste (NHIW),non-hazardous industrial waste (NHIW),1
Spent foundry sand,Spent foundry sand,Spent foundry sand,2
Archetypes,Archetypes,Archetypes,5
Bio-based aerogels,Bio-based aerogels,Bio-based aerogels,2
Lignocellulosicmaterials,Lignocellulosic biomass,Lignocellulosic biomass,128
Modificationmethods,Modificationmethods,Modificationmethods,1
Oil spill cleanup,Oil spill cleanup,Oil spill cleanup,2
BIM competencies,BIM competencies,BIM competencies,1
Construction project,Construction,Construction,350
Waste-efficient project,Waste-efficient project,Waste-efficient project,1
Oil tank bottoms,Oil tank bottoms,Oil tank bottoms,1
Steelworks,Steelworks,Steelworks,1
Stone mastic asphalt,Stone mastic asphalt,Stone mastic asphalt,2
Desulfurization,Desulfurization,Desulfurization,5
Full-scale,Full-scale,Full-scale,1
Choice-based conjoint,choice-based conjoint,choice-based conjoint,2
Stated preferences,Stated preferences,Stated preferences,2
Multilevel system,Multilevel system,Multilevel system,1
carbon dioxide utilization,Carbon dioxide,Carbon dioxide,95
European CO<sub>2</sub> utilization projects,European CO<sub>2</sub> utilization projects,European CO<sub>2</sub> utilization projects,1
techno-economic assessments,Techno-economic analysis,Techno-economic analysis,132
<sup>1</sup> H NMR-based Metabolomics,<sup>1</sup> H NMR-based Metabolomics,<sup>1</sup> H NMR-based Metabolomics,1
Neuroinflammation,Neuroinflammation,Neuroinflammation,1
Active food packaging,Active food packaging,Active food packaging,1
Ethanolic extracts,Ethanolic extracts,Ethanolic extracts,1
HPLC–DAD,HPLC–DAD,HPLC–DAD,1
HPLC–MS/MS,HPLC–MS/MS,HPLC–MS/MS,2
Industrial fruits by-products,Industrial fruits by-products,Industrial fruits by-products,1
Integrated biorefinery,Integrated biorefinery,Integrated biorefinery,13
P-graph,P-graph,P-graph,2
Palm oil biomass,Palm oil biomass,Palm oil biomass,1
Ammonia–nitrogen recovery,Ammonia–nitrogen recovery,Ammonia–nitrogen recovery,1
Ammonia–nitrogen removal,Ammonia–nitrogen removal,Ammonia–nitrogen removal,1
Ammonia–nitrogen wastewater,Ammonia–nitrogen wastewater,Ammonia–nitrogen wastewater,1
circular dynamic environment,circular dynamic environment,circular dynamic environment,1
City scale,City scale,City scale,1
Tyre recycling,Tyre recycling,Tyre recycling,1
Smart manufacturing,Smart manufacturing,Smart manufacturing,20
pozzolanic activity,pozzolanic activity,pozzolanic activity,13
sand wash mud,sand wash mud,sand wash mud,1
strength activity index,strength activity index,strength activity index,2
supplementary cementitious material,Supplementary cementitious materials,Supplementary cementitious materials,33
waste reuse,Wastewater,Wastewater,497
Beneficial use,Beneficial use,Beneficial use,4
Carbon reduction,Carbon reduction,Carbon reduction,9
Contaminated sediments,Contaminated sediments,Contaminated sediments,2
Decontamination,Decontamination,Decontamination,7
Dredged materials,Dredged materials,Dredged materials,2
Dredging,Dredging,Dredging,4
Toxics,Toxics,Toxics,1
Waterfront revitalization,Waterfront revitalization,Waterfront revitalization,1
Industrial maturity,Industrial maturity,Industrial maturity,1
Strategic program,Strategic program,Strategic program,1
Industrial systems,Industrial systems,Industrial systems,2
Electrochemical leaching,Electrochemical leaching,Electrochemical leaching,1
Modified gompertz model,Modified gompertz model,Modified gompertz model,4
Energy resource melioration,Energy resource melioration,Energy resource melioration,1
Trade,Trade,Trade,10
Value added,Value-added,Value-added,8
Dyes,Dyes,Dyes,15
Luffa cylindrica,Luffa cylindrica,Luffa cylindrica,3
Toxic metals,Toxic metals,Toxic metals,4
Energy intensive industry,Energy-intensive industries,Energy-intensive industries,6
Lead time variability,Lead time variability,Lead time variability,1
Supply chain dynamics,Supply chain,Supply chain,196
Crystallinity,Crystallinity,Crystallinity,15
Polyester fibre,Polyester fibre,Polyester fibre,1
Shear rigidity,Shear rigidity,Shear rigidity,1
Biomethane potential,Biomethane potential,Biomethane potential,6
Food waste co-digestion,Food waste co-digestion,Food waste co-digestion,1
Food waste pre-treatment,Food waste pre-treatment,Food waste pre-treatment,1
Ethyl lactate,Ethyl lactate,Ethyl lactate,5
Poly(lactic acid),Polylactic acid,Polylactic acid,58
Renewable chemicals,Renewable chemicals,Renewable chemicals,2
Recycled waste market,Recycled waste market,Recycled waste market,1
5-hydroxymehtylfurfural,5-hydroxymehtylfurfural,5-hydroxymehtylfurfural,1
conversion,Conservation,Conservation,9
electrochemical,electrochemical,electrochemical,27
Cold in-place recycling,Cold in-place recycling,Cold in-place recycling,2
Reclaimed asphalt pavements,Reclaimed asphalt pavement,Reclaimed asphalt pavement,19
Simple compressive strength,Simple compressive strength,Simple compressive strength,1
Future workshop,Future workshop,Future workshop,1
Practice theory,Practice theory,Practice theory,13
Tourist practice,Tourist practice,Tourist practice,1
Algorithms,algorithm,algorithm,7
Computer vision,Computer vision,Computer vision,13
Parametric,Parametric,Parametric,1
Thermally rearranged membrane,Thermally rearranged membrane,Thermally rearranged membrane,1
Conventional pyrolysis,Conventional pyrolysis,Conventional pyrolysis,1
Microwave pyrolysis,Microwave pyrolysis,Microwave pyrolysis,6
biogenic energy with carbon capture,biogenic energy with carbon capture,biogenic energy with carbon capture,1
"carbon capture, use, and storage","carbon capture, use, and storage","carbon capture, use, and storage",1
circular carbon flow,circular carbon flow,circular carbon flow,1
energy planning,energy planning,energy planning,1
mixed-integer linear programming optimization,mixed-integer linear programming optimization,mixed-integer linear programming optimization,2
waste and recycling,waste and recycling,waste and recycling,1
Boreal,Boreal,Boreal,1
Ganoderma lucidum,Ganoderma lucidum,Ganoderma lucidum,4
Wood side stream,Wood side stream,Wood side stream,1
β-glucan,β-glucans,β-glucans,10
Material and energy flow analysis,Material and energy flow analysis,Material and energy flow analysis,3
Social metabolism,Social metabolism,Social metabolism,12
Sustainable biomass,Sustainable biomass,Sustainable biomass,1
Collective catering,Collective catering,Collective catering,1
Street food,Street food,Street food,1
Enhanced AI/DB interface,Enhanced AI/DB interface,Enhanced AI/DB interface,1
Intelligent database,Intelligent database,Intelligent database,1
Joint DSC-TGA system,Joint DSC-TGA system,Joint DSC-TGA system,1
Virgin-recycled polymer mix,Virgin-recycled polymer mix,Virgin-recycled polymer mix,1
Digital remanufacturing,Digital remanufacturing,Digital remanufacturing,1
Smart remanufacturing,Smart manufacturing,Smart manufacturing,20
Lipase,Lipase,Lipase,15
Spent coffee grounds oil,Spent coffee grounds oil,Spent coffee grounds oil,2
Structured lipids,Structured lipids,Structured lipids,2
Predictive maintenance,predictive maintenance,predictive maintenance,4
Smart lighting,Smart lighting,Smart lighting,1
Difference-in-differences,Difference-in-differences,Difference-in-differences,3
Pay-as-you-throw,Pay-as-you-throw,Pay-as-you-throw,2
chemurgy,chemurgy,chemurgy,1
Crystal growth,Crystal growth,Crystal growth,2
Company culture,Company culture,Company culture,1
Hierarchical PLS-DA analysis,Hierarchical PLS-DA analysis,Hierarchical PLS-DA analysis,1
SWIR hyperspectral imaging,SWIR hyperspectral imaging,SWIR hyperspectral imaging,1
X-ray fluorescence,X-ray fluorescence,X-ray fluorescence,1
Environmental management accounting,Environmental management,Environmental management,64
Seaweed wastes,Seaweed wastes,Seaweed wastes,1
ethylene glycol,ethylene glycol,ethylene glycol,4
Ad valorem tax,Ad valorem tax,Ad valorem tax,1
Computable general equilibrium model,Computable general equilibrium model,Computable general equilibrium model,1
Iron ore resource tax reform,Iron ore resource tax reform,Iron ore resource tax reform,1
Socio-economic impact,Socio-economic metabolism,Socio-economic metabolism,24
Gold extraction sustainability,Gold extraction sustainability,Gold extraction sustainability,1
Mining process,Mining process,Mining process,1
Intensive agriculture,Intensive agriculture,Intensive agriculture,3
Waste Framework Directive,Waste Framework Directive,Waste Framework Directive,7
Greenhouse experiment,Greenhouse experiment,Greenhouse experiment,2
Humic acids extraction,Humic acids extraction,Humic acids extraction,1
Incineration bottom ash,Incineration bottom ash,Incineration bottom ash,9
Chemical plating waste solution,Chemical plating waste solution,Chemical plating waste solution,1
Microsized particles,Microsized particles,Microsized particles,1
green human resource management,green human resource management,green human resource management,12
Commonwealth Litter Programme,Commonwealth Litter Programme,Commonwealth Litter Programme,1
OSPAR,OSPAR,OSPAR,1
Pacific,Pacific,Pacific,1
Solomon Islands,Solomon Islands,Solomon Islands,1
Vanuatu,Vanuatu,Vanuatu,1
Construction chain,Construction chain,Construction chain,1
Resource efficiency plan,Resource efficiency plan,Resource efficiency plan,1
Autoclaved municipal waste,Autoclaved municipal waste,Autoclaved municipal waste,1
Humification kinetics,Humification kinetics,Humification kinetics,1
Water resilience,Water resilience,Water resilience,1
critical raw material,Critical raw materials,Critical raw materials,164
rare earth metals,Rare earth elements,Rare earth elements,93
solvation shell,solvation shell,solvation shell,1
Breakthrough performance,Breakthrough performance,Breakthrough performance,1
Ceramsite,Ceramsite,Ceramsite,1
Thermal regeneration,Thermal regeneration,Thermal regeneration,3
Thomas model,Thomas model,Thomas model,1
Two-stage fixed-bed column,Two-stage fixed-bed column,Two-stage fixed-bed column,1
Conscious Material Choices,Conscious Material Choices,Conscious Material Choices,1
Positive Impact,Positive impact,Positive impact,3
Systems Thinking,Systems thinking,Systems thinking,52
organisations,Organic acids,Organic acids,54
reduce,reduce,reduce,18
remanufacture,Remanufacturing,Remanufacturing,352
repair,Repair,Repair,86
Core-shell fertilizer,Core-shell fertilizer,Core-shell fertilizer,1
LWAs,LWAs,LWAs,2
PK fertilizers,PK fertilizers,PK fertilizers,1
Biomass potential,Biomass potential,Biomass potential,1
Biomass to energy,Biomass energy,Biomass energy,18
Phytomass estimation,Phytomass estimation,Phytomass estimation,1
Urban greenery maintenance,Urban greenery maintenance,Urban greenery maintenance,1
Loose-fill insulation,Loose-fill insulation,Loose-fill insulation,1
Performance properties,Performance properties,Performance properties,3
Waste-based aggregates,Waste-based aggregates,Waste-based aggregates,1
Insect biotechnology,Insect biotechnology,Insect biotechnology,1
Fábrica de Hielo,Fábrica de Hielo,Fábrica de Hielo,1
Industrial heritage,Industrial heritage,Industrial heritage,4
Local supply chain,Local supply chain,Local supply chain,1
Valencia,Valencia,Valencia,1
Barite aggregate,Barite aggregate,Barite aggregate,1
Dynamic modulus,Dynamic modulus,Dynamic modulus,1
Electric Arc Furnace slag,Electric arc furnace slag,Electric arc furnace slag,22
Heavyweight concrete,Heavyweight concrete,Heavyweight concrete,1
Temperature,Temperature,Temperature,4
Alkali fusion,Alkali fusion,Alkali fusion,1
Aluminum dross,aluminum dross,aluminum dross,6
Gas release,Gas release,Gas release,1
Sodium hydroxide,Sodium hydroxide,Sodium hydroxide,2
Zeolite A,Zeolite,Zeolite,45
Precast concrete industry,Precast concrete industry,Precast concrete industry,1
Integrated waste management plan,Integrated waste management plan,Integrated waste management plan,1
Sustainable waste management practices,Sustainable waste management practices,Sustainable waste management practices,1
critical success factors,Critical success factors,Critical success factors,25
environmental protection,Environmental sustainability,Environmental sustainability,1324
resource optimization,resource optimization,resource optimization,9
Production development,Production development,Production development,1
Remanufacturing transition,Remanufacturing transition,Remanufacturing transition,1
Flow of people,Flow of people,Flow of people,1
Nagpur Metropolitan Area,Nagpur Metropolitan Area,Nagpur Metropolitan Area,1
Regional circular ecological sphere,Regional circular ecological sphere,Regional circular ecological sphere,2
Urban-rural linkages,Urban-rural linkages,Urban-rural linkages,2
Chalcopyrite,Chalcopyrite,Chalcopyrite,1
Pyrrhotite,Pyrrhotite,Pyrrhotite,1
Environmental indicators,Environmental sustainability,Environmental sustainability,1324
Environmentally benign technology,Environmentally benign technology,Environmentally benign technology,1
History,history,history,5
Mass-and energy balances,Mass-and energy balances,Mass-and energy balances,2
Present projects in African countries,Present projects in African countries,Present projects in African countries,1
Sustainable processes and products,Sustainable processes and products,Sustainable processes and products,1
Teachings concepts,Teachings concepts,Teachings concepts,1
Business experimentation,Business experimentation,Business experimentation,3
Biobased fertilisers,Biobased fertilisers,Biobased fertilisers,3
Biogas residues,Biogas residues,Biogas residues,1
Membrane-based technologies,Membrane-based technologies,Membrane-based technologies,5
3D printable,3D printable,3D printable,1
Bioresorbable,Bioresorbable,Bioresorbable,1
Metallic,Metallic,Metallic,1
Eco-Management and Audit Scheme (EMAS),Eco-Management and Audit Scheme (EMAS),Eco-Management and Audit Scheme (EMAS),1
Environmental Management System (EMS),Environmental management system (EMS),Environmental management system (EMS),2
Industrial,industrial ecology,industrial ecology,489
Small and Medium Sized Enterprises (SMEs),Small and medium enterprises (SMEs),Small and medium enterprises (SMEs),60
Active films,Active films,Active films,4
Biobased materials,bio-based materials,bio-based materials,31
Food byproducts,Food by-products,Food by-products,42
Stretchability,Stretchability,Stretchability,1
UV-barrier,UV barrier,UV barrier,2
Bottled water,Bottled water,Bottled water,3
Heavy-metal contamination,Heavy metal contamination,Heavy metal contamination,3
Indirect land-use change,Indirect land use change,Indirect land use change,2
Ricinus communis,Ricinus communis,Ricinus communis,1
co-wording analysis,co-wording analysis,co-wording analysis,1
sustainable corporate finance,sustainable corporate finance,sustainable corporate finance,1
triple bottom line,Triple bottom line,Triple bottom line,28
Municipal Solid Waste Management,Municipal solid waste,Municipal solid waste,357
Waste Hierarchy,Waste hierarchy,Waste hierarchy,29
cracking,cracking,cracking,3
Fractional derivative,Fractional derivative,Fractional derivative,1
Grey model,Grey model,Grey model,1
Kernel function,Kernel function,Kernel function,1
derelict fishing gear,derelict fishing gear,derelict fishing gear,1
marine litter,Marine litter,Marine litter,28
marine litter mapping,marine litter mapping,marine litter mapping,1
numerical modeling,numerical modeling,numerical modeling,3
seafloor litter,seafloor litter,seafloor litter,1
Circular footprint formula (CFF),Circular footprint formula (CFF),Circular footprint formula (CFF),1
EN 15804/EN 15978 CEN standards,EN 15804/EN 15978 CEN standards,EN 15804/EN 15978 CEN standards,1
End-of-life (EoL) allocation,End-of-life (EoL) allocation,End-of-life (EoL) allocation,1
Product environmental footprint (PEF),Product environmental footprint (PEF),Product environmental footprint (PEF),7
Investments,Investment,Investment,18
Power-to-gas,Power to gas,Power to gas,15
Sustainability accounting,Sustainability,Sustainability,5297
Information asymmetry,Information systems,Information systems,15
Signaling theory,signaling theory,signaling theory,3
Fuzzy ANP,Fuzzy AHP,Fuzzy AHP,15
Industry 3.5/industry 4.0,Industry 3.5/industry 4.0,Industry 3.5/industry 4.0,1
Total resource management,Total resource management,Total resource management,1
Forest management strategy,Forest management strategy,Forest management strategy,2
Potential analysis,Potential analysis,Potential analysis,1
Wood fuel,Wood fuel,Wood fuel,2
Cucumber,Cucumber,Cucumber,4
Decoupled aquaponic system,Decoupled aquaponic system,Decoupled aquaponic system,1
Chromium,chromium,chromium,13
Electrochemical reduction,electrochemical,electrochemical,27
Physicochemical technology,Physicochemical technology,Physicochemical technology,1
5S methodology,5S methodology,5S methodology,1
Chemistry lab,Chemistry lab,Chemistry lab,1
Healthy environments,Healthy environments,Healthy environments,2
green electronics,Green concrete,Green concrete,21
nanosilicate,nanosilicate,nanosilicate,1
origami electronics,origami electronics,origami electronics,1
organic residues,organic residues,organic residues,5
fire,fire,fire,2
flame retardancy,Flame retardancy,Flame retardancy,28
flammability,Flammability,Flammability,9
intumescent,intumescent,intumescent,1
Land use policy,Land use policy,Land use policy,1
Socioecological transition,Socioecological transition,Socioecological transition,1
Consumer values,Consumer values,Consumer values,3
Means-end value chain,Means-end value chain,Means-end value chain,1
Perceived risks,Perceived risk,Perceived risk,3
Secondhand clothing retailing,Secondhand clothing retailing,Secondhand clothing retailing,1
environment and finance,environment and finance,environment and finance,1
socially responsible investing (SRI),socially responsible investing (SRI),socially responsible investing (SRI),1
sustainability indicators,Sustainability,Sustainability,5297
Purple phototrophic bacteria (PPB),Purple phototrophic bacteria (PPB),Purple phototrophic bacteria (PPB),2
Hydrogen economy,Hydrogen economy,Hydrogen economy,5
Hydrogen methods comparison,Hydrogen methods comparison,Hydrogen methods comparison,1
Battery leasing,Battery leasing,Battery leasing,1
Battery regulation,Battery Regulation,Battery Regulation,4
Circular economy in EV batteries,Circular economy in EV batteries,Circular economy in EV batteries,1
EV policy,EV policy,EV policy,1
Epoxidation,Epoxidation,Epoxidation,5
Ion exchange resins,Ion exchange,Ion exchange,32
Reuse of catalyst,Reuse of catalyst,Reuse of catalyst,1
higher education,Higher education,Higher education,23
Polycaprolactone,Polycaprolactone,Polycaprolactone,3
Closed-circulating,Closed-circulating,Closed-circulating,1
Cold-rolling waste water,Cold-rolling waste water,Cold-rolling waste water,1
Molecular simulation,Molecular simulation,Molecular simulation,1
Process evaluation,Process evaluation,Process evaluation,1
Biomass growth,Biomass growth,Biomass growth,1
Lipid peroxidation,Lipid peroxidation,Lipid peroxidation,2
Physiological status,Physiological status,Physiological status,1
Se/Zn biofortification,Se/Zn biofortification,Se/Zn biofortification,1
Se/Zn deficient soils,Se/Zn deficient soils,Se/Zn deficient soils,1
Se/Zn interaction in plants,Se/Zn interaction in plants,Se/Zn interaction in plants,1
Soybean,Soybean,Soybean,11
By-product valorization,by-product valorization,by-product valorization,10
Mannoproteins,Mannoproteins,Mannoproteins,3
β-glucans,β-glucans,β-glucans,10
Economic and environmental analysis,Economic and environmental analysis,Economic and environmental analysis,1
TPOMW,TPOMW,TPOMW,1
Material politics,Material flow analysis,Material flow analysis,421
Aerobic granular sludge,Aerobic granular sludge,Aerobic granular sludge,10
