keyword,frequency
mineral oil,2
Building projects,2
Activation treatment,2
Electrical resistances,2
Trace concentrations,2
ferrihydrite,2
Circularity strategy,2
Carbon efficiency,2
Differential electrochemical mass spectrometry,2
Environmental sector,2
Rubiaceae,2
Coal reclamation,2
Cold gas efficiency,2
Pseudoplastic fluid,2
Printers (computer),2
Georgia,2
Elemental distribution,2
Gaseous nitrogen,2
Selective catalytic reduction catalysts,2
Dimensional stability,2
Water vapor resistances,2
Green corrosion inhibitors,2
Growth,2
Ball milling process,2
Functionalized graphene,2
High performance polymer,2
Engineering aspects,2
Squalene,2
Logging (forestry),2
Sawmills,2
Thermal behaviors,2
Capture process,2
Critical current density (superconductivity),2
chemical method,2
Unmanned aerial vehicles (UAV),2
Varanasi,2
Location routing problem,2
Carbon containing,2
Coal wastes,2
Integrated management tool,2
Mine soils,2
Crop production systems,2
Resources security,2
polyhydroxybutyrate,2
Digitalized bioeconomy,2
Economic feasibility assessment,2
Oil-refining industry,2
economic integration,2
system dynamics model,2
System innovations,2
Densifications,2
Reactor startup,2
Established firms,2
Bio-polyesters,2
Machining,2
Innovative thinking,2
Modelling and simulations,2
Methodological problems,2
Data confidentiality,2
Design models,2
Strategic network design,2
Rhenium,2
Superalloys,2
Molecular dynamics simulations,2
"Aged, 80 and over",2
Isomerism,2
Mesenchymal Stem Cells,2
isomerism,2
Synergistic,2
mechanical stress,2
heat sensitivity,2
microwave assisted pyrolysis,2
Nitric oxide,2
Titanium dioxide particles,2
Clay products,2
Thermal pollution,2
PCDF,2
whole food,2
geological survey,2
deferiprone,2
Partial nitrification,2
Reinforcing materials,2
Game-theoretic,2
Game-theoretic model,2
Product differentiation,2
Quality differentiation,2
thermal structure,2
Thanatephorus cucumeris,2
Nitrogen availability,2
hydrochlorothiazide,2
Commercial wastes,2
dissolved inorganic phosphorus,2
Cobalt Catalyst,2
Dihydrogen,2
Carbon neutral fuel,2
Biobased content,2
AND/OR graphs,2
Shorter life cycles,2
beta mannosidase,2
Roadsides,2
Citric acid productions,2
Laundries,2
magnetic anomaly,2
Fagales,2
"Microorganisms, Genetically-Modified",2
Casuarina equisetifolia,2
Redundancy,2
Environmental management accountings,2
Char yield,2
Not given,2
trade,2
Microwave-assisted process,2
Fibre reinforced composites,2
High-tech products,2
animal structures,2
dissection,2
Ultraviolet spectroscopy,2
Radon exhalation,2
Fourier transform near infrared spectroscopy,2
Mid-infrared spectra,2
Fourier transform,2
Liquid method,2
Competitive costs,2
Additional costs,2
geoaccumulation,2
"Models, Econometric",2
Oxygen partial pressure,2
multiobjective programming,2
Distillation equipment,2
Total energy consumption,2
13C NMR,2
Harmonic analysis,2
Glycidyl ethers,2
Multi-value,2
Servicizing,2
Building wastes,2
Multi-criteria optimisation,2
Packaging Innovation,2
Politics,2
experience,2
Multi-objective metaheuristics,2
Fish gelatin films,2
organometallic compound,2
endocrine disease,2
protozoon,2
Targets,2
microcystin,2
Membrane biofilm reactor,2
Brazilian companies,2
Metrics,2
Perfluorosulfonic acid,2
Portable electronic devices,2
Trade-shows,2
Geographic boundaries,2
Ceramic foams,2
Minor elements,2
Meat Products,2
hemoglobin,2
Natural food preservatives,2
Natural-antimicrobials,2
refrigeration,2
Permanent magnets (PMs),2
Chromium(III),2
Management decision-making,2
conflict,2
geological mapping,2
Freshwater ecosystem,2
chemostat,2
Antwerp [Belgium],2
Agro-energy,2
Methanogenic potential,2
Evaluation indices system,2
Forest ecological security,2
The yangtze river economic belt,2
wind speed,2
Drinking water standards,2
Concrete samples,2
Power industry,2
Regression-based model,2
Linum usitatissimum,2
Char formation,2
Developing cities,2
Arabinogalactans,2
Galactomannans,2
caffeoylquinic acid,2
financial policy,2
Enablers,2
Biojet fuel,2
Camelina,2
Camelina sativa,2
Presence of water,2
infusorial earth,2
Carbon based catalysts,2
Waste activated sludge,2
Sulphate solutions,2
Modified clays,2
copper metabolism,2
Inventory modeling,2
Smart remanufacturing,2
Most likely,2
Conflicting objectives,2
Flexible architectures,2
Material identification,2
aluminum derivative,2
Excessive energy,2
Boats,2
Statistically significant difference,2
Conventional activated sludges,2
Technological limitations,2
Electrochemical characterizations,2
Aspartic Acid Proteases,2
aspartic proteinase,2
Ceramic building materials,2
Brassica napus,2
functional role,2
Biological oxygen demand,2
Purification treatments,2
Growth and development,2
Low molecular weight organic acid,2
Technology transition,2
Enclosures,2
Road,2
Light olefins,2
waste generation,2
Residual elements,2
Halogen elements,2
aquatic fauna,2
aquatic flora,2
fluoridation,2
liver toxicity,2
Plastics fillers,2
plastic flow,2
Quantitative and qualitative assessments,2
infant feeding,2
artificial milk,2
rural planning,2
Dissolved element,2
EDRR,2
Metallurgical plants,2
"2,2'-azino-di-(3-ethylbenzothiazoline)-6-sulfonic acid",2
elastin,2
"Chemistry, Organic",2
pentanol,2
corruption,2
Maker movement,2
Emission standard,2
Particulate pollution,2
Renewable energy policy,2
Meta analysis,2
Compost quality,2
Comprehensive managements,2
Output analysis,2
Value co creations,2
Traditional techniques,2
Docosahexaenoic Acids,2
Polychaeta,2
Collection schemes,2
Dual fluidized beds,2
Equilibrium isotherms,2
X-ray diffraction techniques,2
Terceira,2
Thermal-efficiency,2
Thermodynamic simulations,2
Epoxy Compounds,2
Glass materials,2
Glass-metal,2
Metals materials,2
Multilayer structures,2
Private institutions,2
Waste generators,2
isopentenyl diphosphate,2
Bifidobacterium bifidum,2
Candida parapsilosis,2
Flavobacterium,2
Helicobacter pylori,2
Monascus purpureus,2
Phaffia rhodozyma,2
Serratia marcescens,2
circularity,2
Secondary data analysis,2
One-step process,2
Stiffening effect,2
Sustainable Forest Management,2
Design considerations,2
glycosyltransferase,2
mineral deposit,2
hazard,2
Chemical functionality,2
Caenorhabditis elegans,2
Recycled ABS,2
Break down,2
Long-term solutions,2
Connection,2
Optimum operating conditions,2
Lesson learnt,2
Consolidated bioprocessing,2
Thermodynamic investigation,2
Extrusion cycles,2
Biological nutrient removal,2
Full-scale applications,2
Attenuated total reflectance Fourier transform infrared spectroscopy,2
Bioeconomy indicator,2
Phthalate metabolites,2
spatial variation,2
Alperujo,2
Vacuum evaporation,2
Pharmaceutical supply chains,2
Egg shells,2
System simulations,2
Sensitivity and uncertainty analysis,2
Political agenda,2
Eco-efficiency analysis,2
natural fiber production,2
Porous electrodes,2
imaging method,2
mutagenic agent,2
oat bran,2
Systematic study,2
Renewable energy (Solar),2
Floor systems,2
Ozone layer depletion,2
floor,2
sound propagation,2
molecular evolution,2
Ecotoxicological tests,2
Enchytraeus crypticus,2
Folsomia candida,2
soil organism,2
Coordination Polymers,2
Li-ion battery wastes,2
Legislative initiatives,2
Brewing process,2
Tall buildings,2
Electrodialysis systems,2
Membrane characterization,2
dielectric constant,2
optics,2
Reinforcing components,2
Sound absorbing materials,2
Environmental attitudes,2
Tinning,2
Crab shells,2
Personal care products,2
Bioactive proteins,2
Sustainable energy management,2
Bioenergy conversion,2
Soil respiration,2
Capital costs,2
Rice bran oil,2
Double sulfates,2
Global Health,2
Science - policy interfaces,2
Well stimulation,2
Continuous extraction,2
Employment effects,2
Modelling strategies,2
Reverse electrodialysis,2
Samothrace,2
Reusable components,2
Mechatronics,2
Distributed systems,2
Exploratory research,2
Renewable energy potentials,2
Political dimensions,2
Biological waste treatment,2
Chemical supply chains,2
Piecewise linear techniques,2
confidence interval,2
Pollution level,2
Curbside collections,2
Packaging markets,2
Multiple services,2
Peroxymonosulfate activations,2
Active citizenship,2
Co-designs,2
Heavy metal remediation,2
food waste digestate,2
Mass transfer limitation,2
Propulsion,2
Zebrafish,2
parasitology,2
zebra fish,2
dominance,2
Business transformations,2
Information technology systems,2
Acidic mine drainage,2
Environmental studies,2
Life cycle inventories,2
Mammalia,2
dietary exposure,2
X rays,2
trade policy,2
Conceptual approaches,2
Off road vehicles,2
Electronic equipment manufacture,2
Operational excellence,2
topical drug administration,2
Baden-Wurttemberg,2
Technical development,2
hydrochemistry,2
Steel containers,2
Morphological structures,2
Analysis models,2
International energy agency,2
gender role,2
TG-DSC,2
Gamma spectrometry,2
radionuclide,2
Catalytic Chemical Vapour Deposition,2
Calibration,2
Mastic asphalt,2
1 octen 3 ol,2
benzaldehyde,2
chemical fingerprinting,2
lignan,2
pinoresinol,2
District heating networks,2
Apparel sector,2
Organic manure,2
Displacement potentials,2
Landfill diversions,2
Experimental evidence,2
indium tin oxide,2
Green operations,2
Boron carbide,2
Submerged arc welding,2
Industrial metals,2
coordination,2
Circular consumption,2
Network components,2
End-of-waste,2
Photoluminescence,2
Apple,2
Human dermal fibroblasts,2
Environmental reasons,2
Mineral raw material,2
Citrus limon,2
Irrigation management,2
health care management,2
Classification scheme,2
Lifetime,2
Sustainable agricultural development,2
Ternary diagrams,2
Behaviour,2
Energy consumption optimization,2
Resource limitations,2
Glass fibre reinforced composites,2
Supply chain complexity,2
Environmentally-friendly practices,2
Cotton Fiber,2
Electric network analysis,2
Hier-archical clustering,2
Route optimization,2
acrylonitrile butadiene styrene,2
welfare economics,2
Actual system,2
Capital stock,2
breed,2
kiwifruit,2
Key characteristics,2
Bacterial cultures,2
Product substitutions,2
Fluidized bed boilers,2
Material mixture,2
chemical process,2
Network process,2
Ocimum,2
bay,2
Cement consumption,2
Physio-chemical,2
Rice,2
algal protein,2
protein stability,2
Adaptive systems,2
Learning from natures,2
Mycorrhiza,2
Structural aspects,2
Decomposition process,2
Thermal transformations,2
Potential problems,2
land biome,2
Regulatory aspects,2
Protonation,2
Analytical models,2
Vibration analysis,2
Optical fibers,2
Life-times,2
Water removal,2
Freezing temperatures,2
Hydrometallurgical leaching,2
Tannery wastewater treatment,2
Process wastewater,2
Experiential learning,2
Herbaceous biomass,2
Human toxicity potentials,2
Heating microscope,2
Refuse collection,2
disassembly,2
Scientific cooperation,2
Large-scale manufacturing,2
Gas supply,2
Filtration efficiency,2
liming,2
Indirect carbon emissions,2
Aerobic composting,2
Cross-disciplinary approaches,2
Monitoring and management,2
Fuzzy cut sets,2
Digital image analysis,2
Large amounts of data,2
Power plant wastes,2
Foreign waste ban,2
Raoultella ornithinolytica,2
deferoxamine,2
Siderophores,2
reversed phase liquid chromatography,2
Siloxanes,2
Processing stage,2
Stereoselectivity,2
Control mechanism,2
Beneficial utilizations,2
Methylococcus capsulatus,2
Ammonia oxidizing bacteria,2
Waste management units,2
Nylons,2
Terminal Care,2
Fouling,2
Surface diffusion,2
Degrading bacteria,2
Rumen,2
Energy concept,2
Reporting standards,2
Anthroposphere,2
Digital fabrication,2
acenaphthene,2
acenaphthylene,2
benzo[b]fluoranthene,2
fluorene,2
Light fuel oil,2
end of waste criteria,2
land tenure,2
Sustainable campus,2
Cost-effective solutions,2
Optimal production,2
Electrochemical reactions,2
Thin film solar cells,2
Preventive maintenance,2
Santa Cruz de Tenerife [(PRV) Canary Islands],2
Operating plants,2
Quality standard,2
Preparing for reuse,2
Waste operations,2
Renewable energy strategies,2
Wood biomass,2
Accounting practices,2
Chloride concentrations,2
solvation,2
Subsidies,2
Pleurotus florida,2
Three-dimensional (3D) printing,2
"Health , safety and environments",2
Nucleopolyhedrovirus,2
Product liability,2
Fueling,2
Behavioral economics,2
Oxidizing conditions,2
Strategic research agendas,2
leasing,2
personality,2
Cellular telephone systems,2
Multi-dimensional value,2
Natural resource extraction,2
Proteome,2
Nannochloropsis gaditana,2
protein database,2
Desorption study,2
Substitution reactions,2
demographic trend,2
nutrient use,2
Fiber/matrix adhesions,2
Coarse fractions,2
beet molasses,2
Positive impacts,2
Thickness measurement,2
Internal relationships,2
Principal Component Analysis,2
waste electrical and electronic equipment,2
Waste management options,2
Identification technology,2
Near infrared spectra,2
linear economy,2
Trusses,2
Generation rate,2
discount rate,2
Explanatory power,2
bystander effect,2
photovoltaic panel,2
MaTrace,2
Empirical foundations,2
Optimum efficiency,2
Pure technical efficiencies,2
Life cycle inventory analysis,2
Ascophyllum nodosum,2
Chlorophyta,2
Precious metal alloys,2
anthropology,2
Forest-based sector,2
Engineering science,2
Battery storage system,2
acrylic acid derivative,2
Triple helixes,2
Soil restoration,2
Energy recovery efficiency,2
Statistical design,2
Aerobic,2
Telecommunication equipment,2
International telecommunication union - telecommunications,2
ITU-T SG5,2
Supercritical carbondioxides,2
Food-borne pathogens,2
Knowledge base,2
Oslo [Oslo (CNT)],2
tax incentive,2
phenotypic plasticity,2
Technosphere,2
arid region,2
peak expiratory flow,2
Environmental change,2
European framework,2
Integrated technologies,2
Functional requirement,2
Reuse potential,2
Bar codes,2
Surface measurement,2
surface temperature,2
Organic Acids,2
sorbic acid,2
analogs and derivatives,2
Organic feedstocks,2
Gryllidae,2
plant medicinal product,2
Beverage containers,2
cultural factor,2
Bioengineering,2
Anabaena,2
Spirulina maxima,2
Integrated products,2
Fuzzy comprehensive evaluation,2
Contingency analysis,2
Ds smiths,2
Capillarity,2
Water hardness,2
New economy,2
dryland farming,2
Electrochemical dissolution,2
Self assembly,2
Global governance,2
United Nations Framework Convention on Climate Change,2
Heterogeneous photocatalysis,2
Tungsten compounds,2
Low-carbon energy systems,2
disulfide bond,2
Direct replacements,2
community ecology,2
Medium term,2
dimension stone,2
Aliphatic polyester,2
Enzymatic ring-opening polymerization,2
Semi-crystalline polymer,2
complementary DNA,2
transforming growth factor beta1,2
Potential technologies,2
Maintenance management,2
Food Coloring Agents,2
food dye,2
egg,2
Precautionary principle,2
Phenolic resins,2
Disassembly operations,2
Energy flexibility,2
rooftop greenhouse,2
Food companies,2
Amylose,2
ore grade,2
Data network,2
Environmental measures,2
Elagatis,2
Eco-design tools,2
In-situ techniques,2
Industry clusters,2
Organizational Innovation,2
Small Business,2
Non-aqueous,2
Waste components,2
Residential communities,2
Fischer-tropsch fuels,2
Mutual understanding,2
gender relations,2
scale effect,2
social movement,2
Electrochemical deposition,2
Social learning,2
flavanoid,2
Chip scale packages,2
Development patterns,2
Separate collection,2
documentation,2
Solid waste disposal,2
Pay-per-use,2
Acid fermentation,2
fatty acid synthesis,2
meat and bone meal,2
Flue gas desulfurization(FGD),2
resource productivity,2
Hydrogen infrastructure,2
Hydrogen recovery,2
Social entrepreneurship,2
Bonding property,2
Operational challenges,2
Emission factors,2
Direct reuse,2
Conversion yield,2
Desirability function,2
Potential indicators,2
Mobile telecommunication systems,2
System energy,2
Shared understanding,2
Pre-treated wastes,2
Polymer groups,2
Graft copolymers,2
Photo-anodes,2
Hydrogen decrepitation,2
High alumina,2
Management goals,2
Ultrasound treatments,2
Simulation-based optimizations,2
Water heaters,2
Multiple materials,2
Wet slaking,2
Hydrometallurgical solutions,2
persuasive communication,2
Different solvents,2
Washing procedures,2
industrial restructuring,2
household structure,2
Stepwise pyrolysis,2
Bombyx mori,2
Plant Stems,2
acetylsalicylic acid,2
indometacin,2
analgesia,2
Color removal (water treatment),2
Liquid crystal display,2
Liquid-crystal display,2
Printed circuit board,2
flavanone,2
airline industry,2
Weighing,2
Reliability theory,2
carbohydrate metabolism,2
fungal gene,2
Christchurch [Canterbury],2
South Island,2
Chemical industrial park,2
Global systems,2
Automotive,2
Spent lead acid batteries,2
Closed systems,2
Equipment Design,2
Projectiles,2
Asbestos containing materials,2
polacrilin,2
Material scarcity,2
Coal mining area,2
Biological treatment plants,2
Performance benchmarking,2
Dimethylformamide,2
Metal foil,2
Extraction mechanisms,2
Tri-butyl phosphate,2
Data Collection,2
Gorilla gorilla,2
home,2
species conservation,2
Colloids,2
Comparison methods,2
Air-pollution-control residues,2
Gas cleaning,2
Incineration ashes,2
Enzymatic catalysis,2
retirement,2
Three phase,2
Value preservation,2
Performance evaluations,2
Bio-degradable,2
Material utilization,2
Tobacco stalks,2
ex vivo study,2
High Speed,2
Strategic goals,2
Safe handling,2
public hospital,2
Capacity development,2
quarrying,2
Decomposition analysis,2
Electric impedance measurement,2
Open hardware,2
Molecular catalysts,2
Endopeptidases,2
Newsprint,2
Media coverage,2
Hot compressed water,2
Alternate fuels,2
Economic optimization,2
eco industrial park,2
Environmental restriction,2
aquatic organism,2
standards,2
watershed management,2
Collective action,2
Dissolving pulp,2
Fresh properties,2
Azotobacter,2
Soil microbiota,2
Preparation,2
Property-based,2
Technology platforms,2
Product returns,2
Agency theory,2
car ownership,2
Optimum temperature,2
Thermochemical transformations,2
Public attitudes,2
Partnership,2
Internal resistance measurements,2
Congo Red,2
magnet,2
Corn straws,2
Technological pathways,2
Microstructural changes,2
Potential techniques,2
Biological characteristic,2
Capital accumulation,2
Reductive leaching,2
Clostridiales,2
Hemicellulosic hydrolysate,2
Xylitol productions,2
percolation,2
Reclaimed Fibers,2
High performance applications,2
Mobile devices,2
Mobile-phone users,2
phosphate transport,2
lithium carbonate,2
Heavy rare earths,2
Saturation levels,2
Copper extraction,2
Ore grades,2
Oxidation-reduction potentials,2
Desulfurization gypsums,2
Nucleic acids,2
Spent brewer's yeast,2
Dimethyl carbonate,2
Furaldehyde,2
5-hydroxymethylfurfural,2
Computer aided manufacturing,2
Risk Management,2
Metal-free catalysts,2
Value added chains,2
Engineering schools,2
Social behaviour,2
Dryers (equipment),2
non profit organization,2
Bandpass filters,2
Plant pathogen,2
fungus isolation,2
orientation,2
User-centred,2
Pollutants emissions,2
barriers,2
practices,2
chlorophenol,2
Application specific,2
depositional environment,2
facies,2
sandstone,2
Business viability,2
Air cleaners,2
tablet,2
Multi-faceted approach,2
Returns managements,2
Catalytic reduction,2
Building ceramics,2
Firing,2
economic diversification,2
conflict management,2
proton,2
Technical systems,2
bioelectrochemical system,2
techno economic assessment,2
Diffuse pollution,2
soil inoculation,2
energy dissipation,2
Urban ecosystem service,2
Urban green infrastructure,2
Textile waste management,2
clothing,2
eating,2
Blue bioeconomy,2
Specialty metals,2
Strategic objectives,2
Marginal costs,2
Mountainous area,2
species dominance,2
automotive shredder residue,2
Matrix approach,2
Rules and regulations,2
European Union regulations,2
Biodegradation rate,2
Pig farms,2
Pigment,2
International patents,2
Recovery and purifications,2
Climate change effect,2
Germination,2
Lepidium,2
Sinapis,2
low density polyethylene,2
Quantity,2
Organic matter removal,2
Comprehensive performance evaluation,2
Cross-disciplinary,2
Design for the environment,2
Biotechnological advances,2
Biogenic waste,2
Financial costs,2
Local contexts,2
Energy recycling,2
Decision-tree algorithm,2
Situ transesterification,2
Supercritical carbon dioxides,2
Bayes theorem,2
supply and distribution,2
MSWI-bottom ash,2
Civil infrastructures,2
Mediterranean,2
Integral managements,2
Physical parameters,2
Plastics plants,2
Bottom-up and top-down,2
Cationic surfactants,2
Sustainable assessment,2
Current limitation,2
Electrocatalytic reduction,2
Tire industry,2
molecule,2
landfill mining,2
Furnace bottom ashes,2
Water adsorption,2
Displacement,2
Program Evaluation,2
trends,2
Resource base,2
liability,2
Semantic analysis,2
dimethoate,2
dose-response relationship,2
Bedding,2
Informal economy,2
labor supply,2
Inner loops,2
CAT-extraction,2
Ecological sanitation,2
Plant availability,2
shoot growth,2
Rooftop greenhouse,2
School,2
Biological recovery,2
Food waste collection,2
Heat pump systems,2
Wood Fibers,2
Metal fractionation,2
Municipal landfills,2
oxidation reduction state,2
Pollution index,2
national park,2
Biosludge,2
Thermal drying,2
nitrogen dynamics,2
Operations and supply chain managements,2
Oxidative degradation,2
Recycled paper,2
lysimeter,2
Lignocellulosic biorefinery,2
Sordariales,2
wage,2
Ceramic pigment,2
device material,2
Low carbon built environments,2
humus,2
End-of-life equipment,2
Lappi [Finland],2
Uptake,2
Follow up,2
Lubricating greases,2
Large population,2
Romanians,2
Control factors,2
rapeseed oil,2
Wood preservation,2
Arsenic contamination,2
social support,2
Operations,2
gluconolactonase,2
tetramer,2
Economic expansion,2
Contaminated lands,2
Carbonaceous wastes,2
Cost functions,2
Tantalum,2
Hydrolysis reaction,2
Dynamic factors,2
access to information,2
resource efficiency,2
styrene derivative,2
hydrothermal processing,2
Red Meat,2
red meat,2
Plasma Gases,2
silver chloride,2
Antibacterial effects,2
West Africa,2
insect protein,2
Pesticide residue,2
Gypsum waste,2
Refurbishing,2
Dhaka [Bangladesh],2
Resource preservation,2
Carbon Cycle,2
Early Warning System,2
Thermophilic digestion,2
Ho Chi Minh City,2
habitat fragmentation,2
Pulp manufacture,2
Enzymatic modification,2
Landfill directive,2
Heat generation,2
National development,2
Humidity,2
Removal capacity,2
Steel sheet,2
Crashworthiness,2
Starch industry,2
Treatment ponds,2
Recyclable Materials,2
political relations,2
Construction time,2
Lavandula,2
biological control,2
woody plant,2
Continuous interactions,2
Landfill management,2
Scrap sorting,2
Environmental restoration,2
Excavation materials,2
Cattle feed,2
Economic globalization,2
nocv1,2
Consumer wastes,2
chicken meat,2
smartphone,2
Voluntary agreement,2
Robustness (control systems),2
Smell,2
shipbuilding,2
Landfill construction,2
Secondary materials market,2
Secondary aggregates,2
Technical advances,2
Lithium extraction,2
Potential synergies,2
Scheduled maintenance,2
Service contract,2
Vickers microhardness,2
Institutional economics,2
Information sources,2
Bio-based thermosets,2
Design for recyclability,2
Sorghum bicolor bicolor,2
Non hazardous wastes,2
Plant Residues,2
gas supply,2
Ecological civilization,2
Laminar flow,2
Phase transfer catalysis,2
Crude sulfate turpentines,2
Florianopolis,2
Santa Catarina Island,2
Underwater mineral resources,2
Characterization tests,2
denaturation,2
Concrete bricks,2
Fly ash brick,2
Adiabatic sonic evaporation and crystallization,2
Berry,2
Plant operators,2
Bioelectrochemical process,2
Filling materials,2
Support media,2
Joint optimization,2
Learning approach,2
image segmentation,2
Concrete pavements,2
nanoencapsulation,2
Organization for economic co-operation and development,2
Resource Management,2
Carbon dioxides (CO),2
Malmquist,2
Methylene blue adsorption,2
election,2
Sector,2
Recycled content target,2
Electrolyte solvent,2
Profit optimization,2
Structural Mechanics,2
4 hydroxybenzoic acid ester,2
Fenton-like reactions,2
Reactive species,2
Algal cultivations,2
Prediction models,2
spent mushroom substrate,2
Pleurotus eryngii,2
explainable artificial intelligence,2
Stone dusts,2
Cosmetics ingredient,2
Dragon fruit peel,2
Propylene glycols,2
Internal bond strengths,2
Complex transitions,2
Responsible research and innovation,2
Roadmapping,2
Multi-stages,2
Sodium deposits,2
Alkaline leaching,2
Green is,2
Sodium hydroxides,2
Single-walled carbon nanotubes (SWCN),2
Bio-inspired designs,2
Microencapsulation,2
Protein isolates,2
droplet,2
nebulization,2
Propellers,2
wildlife,2
Bed reactors,2
Computational fluid,2
Fluid-dynamics,2
betalain,2
Carboxymethyl Cellulose,2
Linear carbon,2
Polyvinylpyrrolidones,2
Luminescence of gases,2
Carbon catalysts,2
Tomato,2
Post-consumer PET,2
Butylene Glycols,2
Zymomonas,2
piroxicam,2
"2,3-butylene glycol",2
metabolic flux analysis,2
metabolic pathway analysis,2
Petroleum resources,2
Coffee residue,2
Hydrogenation process,2
Cell system,2
Organic removal,2
artificial substrate,2
Aquaculture operations,2
Fire Resistance,2
Fire resistant,2
Waste analysis,2
Recycled concrete powder,2
Formaldehyde free,2
Cross-cutting,2
Interaction,2
ABS,2
PET-G,2
Tensile test,2
Coupling coordination,2
Win-win,2
Textile reinforced concretes,2
Base oil,2
Recovery yield,2
Cr  3+,2
Pore diameters,2
moth,2
Crystallization systems,2
Geotechnics,2
Soil mixtures,2
Hybrid solution,2
3-Hydroxyhexanoate,2
Aragon,2
Functional fillers,2
Sustainable food packaging,2
Petroleum tar,2
Plastic castings,2
Alkaline stability,2
housing project,2
Fresh state,2
Natural-gas production,2
Grate incineration,2
Membrane bioreactor technology,2
Position papers,2
Inventory analysis,2
biological therapy,2
health expenditure,2
Calcite precipitation,2
Propylene carbonate,2
Solid oxide fuel cell,2
Gas storage,2
medrysone,2
Niobium compounds,2
Intermetallics compounds,2
Annual growth,2
Adoption decision,2
bioimaging,2
HeLa cell line,2
microphotography,2
photoluminescence,2
Biochemical analysis,2
Side-stream valorization,2
Electropolymerization,2
Dearomatization,2
ascorbate peroxidase,2
betaine,2
lipidomics,2
Fibre reinforced mortars,2
Choice Behavior,2
Microwave generation,2
Nanorings,2
Nanoparti-cles,2
Reversible bonding,2
Aerosols,2
membrane filter,2
Hass avocados,2
Communication satellites,2
Signal receivers,2
Fluorocarbon Polymers,2
globulin,2
polyvinyl derivative,2
Circular behavior,2
Central chinas,2
Effect model,2
Fixed effect models,2
FRP,2
Leaf,2
Cybe-physical systems,2
Cyber-physical systems,2
Temperature rise,2
Critical steps,2
Biodegradables,2
laser,2
Nitration,2
Ammonium nitrate,2
Digital services,2
Strategies assessment,2
histogram,2
Shapley additive explanation,2
Pulp and paper wastewater,2
Subsectors,2
Direct ink write,2
Economic ecology,2
Energy-economy models,2
discrete element analysis,2
gravity model,2
DSC,2
Network DEA,2
System efficiency,2
Flexible polyurethane foam,2
Split-phase,2
Polyhydroxybutyrates,2
Vibrio natriegens,2
clustered regularly interspaced short palindromic repeat,2
Hexuronic Acids,2
Monosaccharides,2
hexuronic acid,2
sugar beet pulp,2
3d concrete printing,2
Theranostics,2
Logging Residues,2
Regain,2
Data Mining,2
Natural Language Processing,2
fused deposition modeling,2
Ecotoxicological assessment,2
frass,2
germination rate,2
Plastics forming,2
Comamonas,2
Rattus norvegicus,2
Battery capacity,2
Rare earth recycling,2
Rare-earth resources,2
Persistent Organic Pollutants,2
tolerable daily intake,2
Feedback control,2
Driven system,2
Green transformation,2
Human-in-the-loop,2
Feed ingredients,2
Green tires,2
Cigarette filters,2
Plaster composite,2
perioperative care,2
shared decision making,2
Ammonia fuels,2
Gender,2
Learning models,2
Product make from recycled material,2
Public preferences,2
sentiment analysis,2
Member countries,2
Rhus,2
glutaric acid,2
electrophilicity,2
Mesoporous structures,2
Cornea,2
cornea,2
cornea transplantation,2
Railroad cars,2
Industry applications,2
Sustainable supply chain performance,2
Organosolv process,2
Tetra-hydrofuran,2
Tetrahydrofurans,2
Fit for purpose,2
Greywater reuse,2
Hydrogen carriers,2
Plant wides,2
Prickly pear,2
electronic device,2
remission,2
Strategic analysis,2
Strategic decision making,2
hydroxylation,2
dissociation constant,2
Alkaline fuel cells,2
Zinc-air battery,2
Low-cost feedstock,2
Green retrofitting,2
Exotic fruits,2
Security of supply,2
High-performance concrete,2
Dimethyl terephthalate,2
Play and Playthings,2
peer review,2
carboxy terminal sequence,2
matrix assisted laser desorption ionization time of flight mass spectrometry,2
gamma spectrometry,2
radiation dose,2
Digital light processing,2
Renewable substitutes,2
Sorption isotherms,2
Gaussian process regression,2
Hydrated cement,2
Water to cement (binder) ratios,2
Organic matter content,2
Cotton-cellulose,2
Building technologies,2
Spatial spillover effect,2
Textile effluent,2
Republic of Serbia,2
Foamed products,2
Siliceous materials,2
Natural fiber composites,2
Endogenous return,2
Healthcare systems,2
Semiconductor supply chain,2
tundish deskulling waste,2
Power Generation,2
Cathode chambers,2
Fuel cell technologies,2
Biogas systems,2
Building stock model,2
Inconel-718,2
Material removal rate,2
Wear-rate,2
Screen printing,2
Atmospheric pressure plasmas,2
Self-activation,2
sulfonate,2
Plant growth promoter,2
Advertizing,2
Simulation optimization,2
Greenhouse gas abatements,2
Technology acceptance,2
Autoregressive distributed lag models,2
Historical data,2
Total Kjeldahl nitrogens,2
Musa spp,2
fiber,2
Β-carotene,2
reactive oxygen species,2
Process approach,2
Sugar refining,2
Sugar conversion,2
Business value,2
Circular economy performance index,2
MoS 2,2
Stabilization methods,2
Adaptation policies,2
pentose,2
organisms by carbon source,2
timber market,2
Clay soil stabilization,2
Fuzzy theory,2
cyclohexene derivative,2
Multivariate optimization,2
computer security,2
Innovative structures,2
Bamboo fibres,2
plasma cell leukemia,2
polyphosphate accumulating organism,2
optimism,2
Anti-corrosive properties,2
Waste polyethylenes,2
fruit pulp,2
nanoemulsion,2
particle swarm optimization,2
Model-making,2
Plastic adhesives,2
Waste slags,2
Polymeric implants,2
Mixed plastic waste,2
Wood-based composites,2
Automated sorting,2
Resource recovery potential,2
drug impurity,2
